To-Be Workshop - Demand - MRO EPC planning - Session 1 
mar, 15 de oct de 2024

0:01 - Unidentified Speaker So I can sit on my run. You.
55:29 - Vignesh Perumal (ADNOC Group D&CS) You need to probably rely on this custom table which I have put in the screenshot where this is the custom table in the SAP system. This table is particularly only for the project. This table will not have any other source of information. This table will have the demand which is coming from the project alone. So probably this is the third source. The second source will be your maintenance plan-related demands, and your first source will be your corrective, your reservations from your corrective maintenance, I guess. The table that you showed, the amount, Is the manufacturers? There are two columns that I've highlighted. There is the manufacturer recommended quantity and the EPC recommended quantity. So the workflow goes like this in the AIN system. Adnok sends a project to the EPC and EPC distributes because he distributes the SPIR to the equipment manufacturer. Equipment manufacturer will say that okay for this equipment I suggest you to stock say for example 10 quantities and he will send it to the EPC. Will then review this and then he also has an option you know he may in most cases he may say he may suggest you know okay manufacturer has recommended 10 will also recommend 10 or he has the option to say manufacturer has recommended 10 and maybe he can say I recommend stocking 8 pieces the EPC the EPC contractor can say that I recommend stocking eight pieces, then it comes to the inventory controller, they can review the recommendation from both the parties, that is the inventory, sorry, they can see from the manufacturer and from the EPC what they have recommended, plus he may take the consideration of the maintenance team also, who also have a say in this, and then he will take the final stocking decision. So all this information is available in this custom table here. So the only thing, Vignesh, probably we'll need to discuss is that what activities still remains in AIN and what activity from a collaboration or review perspective should be done in IPP, considering that the planner has now a better holistic view of overall demand and is not looking at just EPC demand at one location, which means that the manufacturer quantity input is required. Contractor quantity input is required. Now the reviewer quantity, which is either from maintenance or from the planning team, probably that review should happen on IVP side, considering that he has a better view of overall demand for the specific material and confirm whether he wants to consider that EPC quantity as part of the overall demand or add it on the overall demand so that he can plan the overall requirement. Because instead of them planning two times, maybe they can after the maintenance recommended quantity is there, then it doesn't need to go to the inventory controller, then it goes to the SAP HANA, then it will create a material code and in IBP, they can do a consolidated review. So you will have all the information over there rather than doing it twice. Once in the AAN, then in the MDG. Yeah, we will. Let's propose it and I think we need to agree with with all the inventory team whether they are OK. At least we have a proposal now, so it's good.

59:05 - Conference Room (MM- SKEC2 - L08) - Speaker 1 So we probably that's the question to the inventory when planning them. This is what exactly we are proposing. So do you see anyone sees any concern with this proposal that? We we want to give this information to a consolidated view of all the requirements and they can plan all the demand including the EPC in IBP rather than separately planning the EPC demand in AI and tool.

59:37 - Conference Room (MM- SKEC2 - L08) - Speaker 4 I think we will cover more detail all the aspects of that in the next slides.

59:46 - Unidentified Speaker one system for the planning.

59:48 - Conference Room (MM- SKEC2 - L08) - Speaker 1 Yes, and that's going to be IPP, right?

59:51 - Vignesh Perumal (ADNOC Group D&CS) Not only that, Khalid. See, in the AIN system, the reason why they just don't take the manufacturer quantity is that when the workflow goes to the inventory controller, he may check, go to the SAP HANA and check, you know, do we have other equipments like this? Have I stocked already? So these of considerations are taken. What you are now trying to do is, you are saying that probably he doesn't need to refer to these two systems. Once the material gets created in the SAP HANA, all these will be consolidated, he can review it in the IDP system. But he has to do this manually today, when he puts that inventory controllers recommended quantity. Somewhere he needs to to look at the number of installed equipments, whether this part is already stocked, and then only he takes the inventory stocking decision. Only thing is he may be doing it in the IBP. But anyway, just to document this as a business process, we have to have business confirmation if they agree to this or not.

1:01:03 - Conference Room (MM- SKEC2 - L08) - Speaker 1 I guess we have all the required stakeholders in this meeting. So we just wanted to make sure if There is an alignment from an inventory perspective and business perspective on this discussion. We understand all the required stakeholders are part of this discussion. And the purpose of showing this process was to exactly meet to what you mentioned, that this is how we propose to plan. And inventory planning team should be looking at IBP as a single tool. So Khalid, can we make sure that you know exactly the people Can we call out their name and get the confirmation?

1:01:40 - Vignesh Perumal (ADNOC Group D&CS) We need to have this consensus. I suggest, you know, don't make such a thing. Don't call out the names and get this sort of confirmation because this will not be what you do is you propose the one process and you, you know, say as part of the minutes of meeting, you need a confirmation by this date, you know, so that there are some people who we may with who are not there, but you put a date and you say that you need a confirmation and we will internally and we will get back to you with the confirmation.

1:02:17 - Ahmed Mahmoud Al Hammadi (ADNOC Refining - HQ) As I know that all the group companies focal points here, but however, I am with the same proposal with Vinish he said. Khalid send the email to all focal point from all group companies with this proposal that has been proposed.

1:02:34 - Unidentified Speaker This will be sent to the inventory managers actually, in the shared service.

1:02:39 - Ahmed Mahmoud Al Hammadi (ADNOC Refining - HQ) Yes, yes. Send it, we will do the action from our side. We will send it to a group company. During the break, we'll discuss this, how we can forward it to focal points to review it.

1:02:54 - Conference Room (MM- SKEC2 - L08) - Speaker 3 Well, Dean, you have your hand up. We're missing you in the room today, but you can ask the question.

1:03:00 - 1Waliyoddin Ahmed (ADNOC Offshore - ZKFD) Thank you. Actually, I would just ask want to know regarding the demand for the shutdown or turnaround, because turnaround demands are also not normal. So when you are considering the EPC demands here, so are you going to consider this turnaround demands also separately over here, or how we can identify this is turnaround or the normal demand?

1:03:23 - Vignesh Perumal (ADNOC Group D&CS) Can I answer, or you guys, anybody wants to answer this?

1:03:37 - Vignesh Perumal (ADNOC Group D&CS) There is a major problem today. So currently what is happening is, what the maintenance team are doing is, even if it is a shutdown, turnaround or general corrective maintenance, they are simply creating a work order. Maybe they use a different type of work order, maybe PM 06, but ultimately what it does is it gets, you know, planned as a normal requirement. So I'm just telling you one thing that there is a new proposal which is which is going on since last week where there's a proposal from the EWM team whenever they are going to create a turnaround requirement which is having, you know, in the work order WBS. Are going to make an enhancement in the system so that the reservation that gets created will be created as a project stock request with an account assignment queue or a 261 queue. It is going to be differentiated from the corrective maintenance. So what it will mean from a demand planning perspective. So when you are going to replicate all the reservations, they will take the reservations to the IBP system. So in the IBP system, they will be able to differentiate a turnaround or a project request from a corrective maintenance. Now, I am telling you this, this is not like the other SPIR project. This will be against WBS, planned against WBS. Still not yet implemented, but there are some discussions going on since last week and EWM said that they will start with all the group companies. They will start some change management process and it will be rolled out within two months. This is what I know, sir.

1:05:41 - Conference Room (MM- SKEC2 - L08) - Speaker 7 Thank you Ignatia. It's OK.

1:05:44 - Conference Room (MM- SKEC2 - L08) - Speaker 1 So I know we are deviating from our EPC topic, but we probably will need to connect separately understand how this separate project will impact on what we are doing so that it is part of the learning we are having.

1:05:58 - Vignesh Perumal (ADNOC Group D&CS) We will discuss it yes. For sure because this is a process which is being discussed now which is currently not implemented in the system but they are planning to roll this out across all the group companies in the next two months you know so we need to be ready for these sort of requirements. When we go live also.

1:06:21 - Conference Room (MM- SKEC2 - L08) - Speaker 3 Go ahead.

1:06:23 - Hector Palacios (ADNOC Group D&CS) All right. Can I share my screen? Just a little bit. Then I can give it back to you. Give me one second. Sure, sure. Go ahead. OK. Apologies by my voice. I'm just recovering from a cold, so you will hear it a little bit deeper than usual. Let's see. Perfect. So let's discuss about the demand inputs that we are going to need. Usually, we refer this as mass data and transactional data that are the base inputs that we are going to use for our demand model and all the subsequent steps that we are going to have. So let's start by the mass data. So mass data is information that we are planning to integrate from the source As we have said recently, we want to use this for HANA system. This is a very good practice from IT perspective to have a consolidated source from which to extract the information. We want to extract the base dimensions that we are going to use for planning. Time is something that we have already on the system that is not necessary to extract, but material dimension related to the spare parts, the asset dimension, that can be the equipments or functional locations, and the location dimension is something that for sure we need to bring from the system. To be able to plan on AVP, usually we only need the IDs, all right? That is something important to understand. When you see the other hierarchies here, this is more related to consolidating numbers, to aggregating. So in the future, for example, if in the planning view, in Excel, you want to see see more information related to this material, like the category, material group, and so on. That is information that we need to understand right now, OK? Because we need to work on the integration of this information. Also, sync on dashboards or reports when you want to see dashboards or charts that are showing you the information, I don't know, by vendor or by asset class. You need to have this kind of information. So we have many agencies. Hopefully, you're sharing the kind of hierarchies that you're working on, but I think that a very good approach that we can follow is that we can give you a template on our site. We can give you a template of what we need, and you can start writing what are the hierarchies that you are usually working, because this is going to be an important input for us. We are working currently on technical sessions in which we need to address the integration side. We need to understand from you if there is any hierarchy or attribute like the ones that you see here that you would like to see on the tool so we can start planning the integration of those. We need to do all the mapping and filtering of the information you have in store and bring that information into IoT.

1:09:30 - Hector Palacios (ADNOC Group D&CS) I think that would be the best approach. So you can work it offline and then you can give us the fields that you need because otherwise, it's going to take too much time.

1:09:40 - Vignesh Perumal (ADNOC Group D&CS) One question for the material group, you see that you have a material group as a dimension. Now, a material group in the SAP will be from the T023 table and it's a six-digit, but what we have is we have a breakup of the material group. Do we replicate? It's stored in a custom table. In short, the material group itself is not a random number. We have a hierarchy to it, but it is not maintained in the T023. We have some custom tables which is going to segregate the material group. So you want that hierarchy also to available in the end, right? It's a custom table that we use.

1:10:29 - Hector Palacios (ADNOC Group D&CS) Perfect, exactly. That is the kind of thing that we need to understand. So we need to understand. What you are going to use for planning? What is important to see in the tool for you and then with you being a channel or people like yes, then technical sessions we can check how we are going to perform integration because we are going to find things that are not standard like in this case and probably we need to perform a different from that that is not coming from the add-on as standard. So yeah, that is part of the technical discussion.

1:11:03 - Vignesh Perumal (ADNOC Group D&CS) Fine, we will discuss that also, no problem. I just put over here in the screen on the chat a screen for your reference where we have what you see over here on the material group is the six digit which you will see in the as a material group. But we have a parent to that, you know, and we have a parent to that so. It has a logic. Yeah, it has. Yeah, yeah, yeah. So we will just keep a note of this table. We we can replicate this also so that we can get a better perspective in terms of family. Or grouping of items. Vignesh, are these UNSPA C codes or? No, sir. These are not UNSPA C codes. These are ad-hoc unified product groups. It's a custom ad-hoc classification.

1:12:02 - Unidentified Speaker Okay. I have a question.

1:12:13 - 1Vivekananda Shetty (ADNOC - PE&ICV) Yeah, here you mentioned there's a material dimension. Dimension in the sense attributes in the sense it's like a field like right now you have mentioned metal ID okay so like for example if you want metal description that's considered attribute or how it is but the description yes

1:12:30 - Hector Palacios (ADNOC Group D&CS) is going to be another attribute let me show you really quick on the system because I have some example so for example this is a planning view that we use for a statistical forecasting and has all the information required for doing so so you have base information like the part a description, location description, that is the plant. And then you have information that is going to consolidate this, right? So for example, in this is a very easy example that the company, for example, we can bring that field into the planning view. So you can identify, you can use it for filtering, or if you want, you can use it for consolidate. So for example, you want to see all the forecast for this You can consolidate and sum up the number. So you see it by company, not by part, not by plant, by company, you know. So this is kind of the information we are going to need. And as you were asking, the description of the material is also going to be one of the fields that we need to introduce.

1:13:28 - Conference Room (MM- SKEC2 - L08) - Speaker 1 right for sure make sense these are all the columns or filters available in the IDP and then inventory control can filter aggregate disaggregate and filter and filter when we say aggregate the more if you go up in hierarchy the will get keep on consolidating and you will see the aggregated. If you go lower in the hierarchy the GIMAN will split and disaggregate for that specific hierarchy and then filtering will allow them to specifically look at that specific value of the classification or grouping of the material for them to look at that specifically so that with that they can prioritize and like an inventory manager would not care at a lower level of demand so probably he would like to look at an aggregated total what is maybe it can be material grouping level it can be group company level it can be plant level so whatever is the criteria which make which is more relevant for that person filters can be applied and he can have a look at that specific number if it's more working person who wants to look at things at a granular level then he can select the filters which are specific to a specific material type specific metal group and a specific metal combination so that he can work on providing his input when he's working on that specific.

1:15:00 - Vignesh Perumal (ADNOC Group D&CS) As far as I know the way they are looking at it you know first thing is by manufacturer this is this is the currently the aggregation logic that the inventory team has given they try to consolidate by first the manufacturer you know the requirements by manufacturer they exclude all the ones which already have an agreement. If those requirements already have an agreement, it will anyway directly get created as a release order, so that is excluded. But other than the ones that are an agreement, then they first go by manufacturer and they check the demands. They are going to group first by manufacturer. If after the manufacturer level, then they go to the family of the material. In that itself, know they have some criteria. Jaga, you remember you have given this criteria before where you say that in the material group six digit, five digit, four digit. Yeah, parent manufacturer. So these are the things if you want to visualize, then I think they are asking for that only over here.

1:16:08 - Jaganath Doss Thangadurai (ADNOC - PE&ICV) Okay, I can share the logic what we have.

1:16:12 - Vignesh Perumal (ADNOC Group D&CS) Yeah, you can try to share it separately with them because if you want to look at it visually, visualize it that way, then I think probably that input needs to come here. So here I think that this is an Excel sheet. What they are saying over here is, if you get the relevant parameters over here, you will be able to aggregate by company and see what is going to be the net demand, correct? This is what you're trying to show, right, Hector?

1:16:41 - Hector Palacios (ADNOC Group D&CS) That's correct. That's correct. You just think of this like a pipe of theory, right? You have the information at a very high level, but you can consolidate by company space or by vendor, as you were saying, just by putting the correct fields here.

1:16:57 - Vignesh Perumal (ADNOC Group D&CS) So if you put one company. We will have Jagat to provide you this information, OK?

1:17:05 - Unidentified Speaker That's right.

1:17:05 - Hector Palacios (ADNOC Group D&CS) That's right. Thank you.

1:17:07 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) Good.

1:17:07 - Unidentified Speaker Let's continue.

1:17:08 - Conference Room (MM- SKEC2 - L08) - Speaker 1 You'll be providing for all the group companies, Jaganath?

1:17:12 - Jaganath Doss Thangadurai (ADNOC - PE&ICV) Common for all group companies.

1:17:14 - Vignesh Perumal (ADNOC Group D&CS) Yeah, this is centralized and this is not something specific. This is for all.

1:17:19 - Unidentified Speaker That's right, the PR is aggregated, yeah. So Jaganath is from the Inventory Excellence team, so they are looking over all the room. OK.

1:17:29 - Hector Palacios (ADNOC Group D&CS) Perfect, OK, let's continue then. So related to massive data is basically what we said for EPC. As we were discussing previously, we also would like to have That's something that we already checked. I don't know if the code, but I saw that in your table, Dinesh, there was a specified the break as well. Also, the MRO asset. As I was explaining before, this is going to be any functional location or equipment in which we are spending our MROs. Yes, that's one of the basic information that we will need. Location. Is the physical space in which we are storing the inventory, in this case, and the MRO part that is basically a material. So this is going to be the basic mass data that we need to have on the system. And then related to transactional data, that is information that usually is depending on time, we will need the project required quantity. That is what we were showing in that table, lineage. That initial MRO quantity, the recommendation from the manufacturing, the layer from the contractor, and later from the inventory controller, the review. That information is something that we also need to integrate on IVP. For that, we need what is the material, in which plant we are going to store it, for which asset, and which date. That is information that we need to have in each. Later, if you want to convert to value this information, it will be also useful to have the cost per unit, so you can convert all the value that we are getting from demand planning, inventory planning, supply planning, into a financial number that you can later review. So that's the basic information.

1:19:21 - 1Nishant Keloth (Borouge) So, Vignesh, project code refers to our project request number?

1:19:30 - Unidentified Speaker Project code.

1:19:30 - Conference Room (MM- SKEC2 - L08) - Speaker 1 Yeah, it's the EPC project code which is getting created in AI.

1:19:36 - 1Nishant Keloth (Borouge) That is actually project request. Are we talking about the same thing? I'm just.

1:19:43 - 1Nishant Keloth (Borouge) Sorry, what is that? Does project code mean our project request number created on the AI project project code means it's the project request? Yes, exactly. But for the same EPC project we're creating hundreds of project requests in our our case.

1:20:00 - Vignesh Perumal (ADNOC Group D&CS) There are different. They are different projects, right?

1:20:04 - 1Nishant Keloth (Borouge) Nishant they are, but for every MR we create different different projects. So. So I mean, can you explain that again? Nishant, what do you mean when you for a for our current project we create? So for for every, you know, batch of materials we create, So I think already we have got some more than 50. Almost the project was created for the same EPC project, so I think we'll have to look at some other code to identify a project separately, but Ignace will have to think about it.

1:20:45 - Vignesh Perumal (ADNOC Group D&CS) So that is going to be the case Nishant in as part of each project they are going to ask you to assign a WBS, correct?

1:20:53 - Conference Room (MM- SKEC2 - L08) - Speaker 1 Yes, no, this is. A question here. This is a project in EIN, right? So while you create WBS in EIN, the intention is not for the inventory control, right? The intention is just to be able to identify for this. Yeah, just a grouping unit. So do we, like for a single project on EPC, like if you have a site, say a plant, and then there you want to implement certain assets as part of that project, We understand there is one project code which allows you to group all the assets. And then the material, the materials which are required as part of EPC for those assets. So how is this understanding different from Nishant what you're trying to share where you have multiple project codes? Can we just elaborate a little bit more here?

1:21:48 - 1Nishant Keloth (Borouge) No, I mean, see when I asked you about what is the triggering you said that's a project code, right? Yes, for the EPC. Now when I have so many projects created for the same EPC project and and whatever Vignesh table, the table that Vignesh showed you for SPIR header that contains the project request number which is many numbers for the same EPC project. So how will you trigger it in a way that you club all of them together?

1:22:16 - Conference Room (MM- SKEC2 - L08) - Speaker 1 Do you have this hierarchy defined in AI and where you have a main EPC project code? And then it creates subsequent project code, project requests.

1:22:28 - Vignesh Perumal (ADNOC Group D&CS) We don't have that. If we are going to do like that, Nishant, then what we may need to introduce is a field called collective number, something like that. You remember we used to have this in the olden days, SAP RFQ. We used to have a collective number, which is basically going to have. So probably one of the solutions, if you are doing things like that, there can be a collective number which can be introduced, which is going to be one. Even if you have 20, 30 projects, and in the collective number, if you use one number, then that can be the unique project and you are just creating multiple requests. So this is one way we can look But it's currently not there, but if you are following.

1:23:22 - Nishant Keloth (Borouge) Yes, we will have Satish in Adnok. You're creating only one project for specific EPC.

1:23:30 - Satish Desai (ADNOC Group D&CS) Project project. No, no, it is.

1:23:32 - Nishant Keloth (Borouge) It is one too many, so I think Vignesh should we have this?

1:23:39 - Vignesh Perumal (ADNOC Group D&CS) See any change we are going to do to the AIN. It should be in both the systems in a shunt. We don't want to do something for the Boroughs. So if you are going to add the project, then a collective number will add it in both the instances.

1:23:56 - Nishant Keloth (Borouge) My point was like as Satish said, Satish, you also have multiple for the same EPC for multiple projects, which means the issue is on both the sides. So if you have a fix, I think we have to look at having something like that on. I mean that retrofitted on our side as well.

1:24:15 - Raghavendra Mithal (ADNOC Refining - HQ) is how are you then finding out this project codes belong to which master project.

1:24:21 - Nishant Keloth (Borouge) Now see we are handling only at this point we are only handling one EPC project through AI. So the requirement has not the scenario is not like we have many EPC projects going on parallelly.

1:24:35 - Vignesh Perumal (ADNOC Group D&CS) They have Raghavendra they have one project EPC project for I think Baruj for expansion okay.

1:24:44 - Vignesh Perumal (ADNOC Group D&CS) for expansion and they are creating a lot of Projects under under that they are using it a little differently than how it was designed, but now we have one project code and under that we have different SPR.

1:25:01 - Raghavendra Mithal (ADNOC Refining - HQ) So we track by the project code only.

1:25:05 - Vignesh Perumal (ADNOC Group D&CS) Uh, sorry.

1:25:07 - Raghavendra Mithal (ADNOC Refining - HQ) No, I mean in the current SPR, not the end. We have one project code for the or you know crude flexibility or whatever we have one project code.

1:25:15 - Vignesh Perumal (ADNOC Group D&CS) That is the way you are doing it. Yeah, that is the way you are doing it, but the way he is doing it is a little different. For you if there is a one major work or any major minor work you know or any enhancement you create a project for that and you give a reference location to the EPC contractor. Contractor will go catalog all the locations, send it to us for review. You, then he will associate all the assets or the equipments under those locations, right? This is generally the process that you are following. I think what Nishant is probably saying is because of the nature of their project, it's a very huge project also.

1:25:53 - Satish Desai (ADNOC Group D&CS) Yeah, Vignesh, it is not only that. See, many, many occasions, yeah, many occasions, maybe some of the locations or say hierarchy has been developed. Once the another one, one project is already one project request is already processed SPR is under review that time they will have another new locations to be added in and all these things in those cases we need to create the new project request to add locations hierarchy in the same reference location so it is always there that yeah no no go ahead Satish sorry so so there is always one to many request. So if you want to have something common then we need to have some solution which is always as a high level.

1:26:44 - Vignesh Perumal (ADNOC Group D&CS) That is what we are referring to you know as introduction of another field called as collective number which is like a parent or a holder object and we don't change the process itself let them do whatever process that they are doing But a collective number can be an independent entity, which can be used to link multiple projects to one parent, and it can be used for any subsequent planning or reporting. Anyway, we will discuss this Nishan. This is just a solution that we have done. But we will take this up with our team, our AI team.

1:27:25 - Unidentified Speaker Thank you so much.

1:27:31 - Hector Palacios (ADNOC Group D&CS) Great, perfect. That is great to know that we can also have new fields if required. One next discussion that I would like to understand is related to the location level. Usually when we have this kind of projects of IVP, us is always the plant. While we are planning, we are planning the demand on a plant, the inventory that we are projecting is also on a plant and so on. So all the information on IVP is usually at this level. I hear that you are usually planning differently. You are having different storage location and different MRP types by storage location. So I just wanted to see if you see any issues on that all the planning on IPP is at the plant level or if you've seen that we should go a level deeper and if that's the case we need to understand why. So I don't know who can speak here on this case if we think that we should go deeper than plant level.

1:28:44 - Jaganath Doss Thangadurai (ADNOC - PE&ICV) I think this one we need group company by group company so correct me if I'm yeah yeah because we have both some companies they are doing it at the client level and some companies maybe I'm sure and drilling yes they are doing at the MRP area level MRP area level so wherever there is a MRP area this mean that they have clubbed certain storage location at the MRP area level but even we can do If you consolidate everything at the plant level also, we can do the same.

1:29:18 - Vignesh Perumal (ADNOC Group D&CS) But we need to see how... Jagga, just one minute. Some companies, what they did is, they have created MRP areas so that they wanted to exclude the shutdown location and this project location, everything from the MRP. The example will be like Soar Gas, all these companies. But Adnog is a very different case. They are using the MRP in such a way that they have each rig is modeled as a storage location. First, what the MRP does is, the MRP runs at each of the storage locations, which is spinning at the rig level. When the MRP runs, it will not directly place a demand to the vendor. It will never place a demand to the vendor. These rigs, when the MRP runs, because of the special procurement key which is maintained, it will place a demand on another storage location. If any of the rigs, this planning is executed, it will place the demand on another main storage location. Another MRP is run on the main store. It's just a storage location within the same plant. So that time, this is the only MRP that will generate an external procurement. If the material is already available, this will be issued against a stock transport order, internal stock transport order. Advanced drilling has a genuine case of them running it like this, but some other companies they used MRP area to exclude shutdown stores, project stores from the MRP. So both types we have Jagga.

1:31:29 - Murugan Kaliaperumal (ADNOC - PE&ICV) This will be same for all and in future this scenario will be same as Vignesh explained for all companies. Preservation requirement store will be under the plant and purchasing plant or purchasing receiving plant will be different. Receiving store will be different. Purchasing and receiving store. Currently adnog drilling and adnog onshore has the same scenario.

1:31:58 - Conference Room (MM- SKEC2 - L08) - Speaker 1 So Vignesh, just to make sure. The case where you are excluding certain storage location for planning.

1:32:09 - Conference Room (MM- SKEC2 - L08) - Speaker 1 Essentially means. You're not considering inventory available at those locations for planning.

1:32:15 - Vignesh Perumal (ADNOC Group D&CS) Yeah, they did not. No, no, no, those storage location that will also be considered even in the purchasing plan there will be levels MRP parameter that also will be considered correct yeah so we have both the cases Murugan in some in some cases you know like in in sour gas and all what they did is they specifically they don't want the quantities in the shutdown store to be you know considered for the for the MRP general MRP so what they did they created an MRP area which excluded the shutdown store. And basically the concept is those are excluded, the quantities in the shutdown store are excluded from the MRP planning. This is one or two companies who did that. Because they are reserved quantities. Yeah, reserved quantities, but others are.

1:33:09 - Murugan Kaliaperumal (ADNOC - PE&ICV) They did not have the queue concept, that is the reason.

1:33:15 - Vignesh Perumal (ADNOC Group D&CS) Yes, yes, that time they did not have the project stock So what they did is they kept creating a shutdown store which is a storage location and we used MRP at MRP area to exclude those stocks in that storage location from planning. This is what we did.

1:33:34 - Conference Room (MM- SKEC2 - L08) - Speaker 1 So that's what. So essentially you have two scenarios. First scenario is when you use MRP areas to exclude certain storage location stocks for planning which means you are only restricting planning from a certain storage location. And then the second scenario is where you have one storage location fulfilling requirement of other storage location. So you have a primary storage location which is fulfilling requirement of the secondary storage location. And then the primary storage location replacement happens from vendor, which means this nesting is there in the scenario too. So this MRP areas is how we supply the material to a specific demand. So from a demand perspective, we are still consolidating the demand. But when it comes to supply, we will have to make sure this MRP areas, like when we say from a location, Hector will need to consider MRP areas as separate locations, but separate reorder points and separate inventory fulfillment or whatever parameters, safety stock parameters we are maintaining for a material. So it can be separate for an MRP area versus. So anyways, storage location plant are two separate MRP areas. It has to be MRP area specific and not location specific.

1:34:59 - Vignesh Perumal (ADNOC Group D&CS) That's how exactly it works even in the SAP HANA today. If we have an MRP area defined, the MRP area level we define what is the safety stock, what is the reorder point you know and this is how if it's at the plant level, if the MRP is at the plant level, the plant level MRP parameters are considered. If it's at the MRP area level, in each MRP area they have this reorder point, safety stock, maximum stock, all these parameters that should be taken while execution of MRP at that MRP area.

1:35:41 - Murugan Kaliaperumal (ADNOC - PE&ICV) Vignesh, considering the future and only we have a short period of transition period say one year, why don't we plan for every company same way as what Adnog Drilling is doing, one plant or one storage location for purchasing, and inspection, then transfer it to all their planning plant or their current existing old storage location. Why don't we implement it at this tenure inventory for all the companies?

1:36:24 - Vignesh Perumal (ADNOC Group D&CS) Can we do one thing, Murugan? As an inventory, you and we can align, and then we can get back to them with a clear picture. If we start discussing that now, then it may, I don't want to discuss a design which is not completely formulated. So we can have this discussion, considering the inventory where it goes, and then we can tell them that this is our requirement. Murugan, is that okay?

1:36:57 - Murugan Kaliaperumal (ADNOC - PE&ICV) Yeah, yeah, it's okay. They had made a study last year of the Jagannath Das in the central planning team. Team made a study to do a uniform planning option across company excluding MRP area. So we can involve this team again and try to do some uniform planning for future.

1:37:24 - Vignesh Perumal (ADNOC Group D&CS) Sure, we can have an internal discussion probably today or tomorrow.

1:37:32 - Conference Room (MM- SKEC2 - L08) - Speaker 1 You can align this internally and And then this can be a requirement in the supply planning session when we are talking about supply planning where how you want to work on the supply plans. This can be part of those workshop.

1:37:44 - Murugan Kaliaperumal (ADNOC - PE&ICV) Oh yeah, we need to. Yeah, yeah, we will discuss it and get lost right last year. Then those are. Please try to organize internal meeting on our with all the inventory focal points key staffs. Let us finalize this option. Yeah, this will be good for you.

1:38:02 - Vignesh Perumal (ADNOC Group D&CS) Tomorrow we can try to meet from 9 to 10.

1:38:08 - Unidentified Speaker OK.

1:38:09 - Conference Room (MM- SKEC2 - L08) - Speaker 2 And more again, you you'll get back to us more again. Vignesh will get back to us this week.

1:38:15 - Vignesh Perumal (ADNOC Group D&CS) Yeah, get back to you as soon as we have a way forward.

1:38:24 - Conference Room (MM- SKEC2 - L08) - Speaker 1 We just want to make sure you have this way forward before our supply planning sessions, which are starting first week of November.

1:38:30 - Hector Palacios (ADNOC Group D&CS) Okay, fine. We need to have this input, so if we are starting the rating, the location attribute, we need to do it at the correct level. Just for you to know that the recommendation on IVP for us, the technical side, is if we can plant at the plant level, that's the better scenario for us because you already have too many combinations, too many materials that need to be planned. And if we are continuous going deeper and deeper, the amount of combination is going to explode. So it's not going to be good for anyone, right? So if there is not a strict requirement of why we need to do something like this, like, for example, in the case of drilling, as I'm hearing, all your cases can be handled by just filtering. So if you want to exclude certain MRP areas or storage location from the stock that we are integrating JVP. It's just a matter to filter the information. We don't need to plan at the MRP area to have this done. If you can consolidate, that's better. Otherwise, let's have a very good reason why we want to go to the MRP area so we can proceed in that way.

1:39:48 - Vignesh Perumal (ADNOC Group D&CS) We will do that. There are some genuine cases where an MRP area is required. There are some cases or a filter may be applicable, we will let you know.

1:39:57 - Unidentified Speaker Perfect.

