Inventory Planning & Inventory Excellence - Drilling 
lun, 23 de sep de 2024

0:37 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) Oh.
49:35 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) Actually see vendor data will not reflect any for example the beginning of the vendor will bring the material. So this information will stay in the within vendor only so it will not pass to that node. Come to the ad-hoc inventory. So we then a connection through a like on database within SAP but still it's in the maturity we are in the like the enhancement area going on so this information partially passing from the vendor side.

50:10 - Rahul Patel (ADNOC Group D&CS) Yeah because in our last conversation the planning which is happening in Excel outside we have clear information of what inventory is there at a vendor VMI location or vendor location what inventory that drilling location and that's how they were planning what is the total inventory required which means that the information may not be there in SAP that can be one of the gaps but then this information is available for planning team yeah this information will provide by vendor individual vendor what they have in stock and and this is what I what we understood is monthly reconsider every month they have a clear understanding of what what is vendor have already produced and kept in their stock versus what is in transit and what is there at the drilling location.

50:53 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) Exactly, this information will provide monthly basis by individual vendor.

51:04 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) Yeah.

51:15 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) Okay, actually, so if you are interested, so we can go through the two process, which is tendering cycle, then the three cycle actually, then reordering cycle, third one, real operations.

51:29 - Conference Room (MM- SKEC2 - L08) - Speaker 1 Yes, we are.

51:35 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) First part I will go through the tendering. I restarted this.

52:30 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) We cannot see your screen, if you're sharing. Yes, now we can.

52:43 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) Let's download the document. So here. This is the OCTG analysis at the time we were done. And so this many vendors was there throughout all the company. This is the analysis conducted. And SMC, Teneres, and Olerik, these are the major stake. And the total spent, this is the reason 2.2 billion at the time and the tonnage wise and hours spent per year. Then later on, so there are different categories. I'll go a little bit faster because it has many information.

53:27 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) Somewhere here, so it will show the answer for the which are the processes of VMI and in the backup slide.

53:42 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) Yeah, this is the timeline we followed for the OCTG tendering. This is the strategic planning and the strategic DAC, which is the steering committee. And this area will be presented. Then in 2017, it went to the tender and award.

54:02 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) actually shifted to 18, process, only a lag was there. Then 2019 onwards, we issued the code of orders. So this is the analysis, which one went for the VMI and all. So OCT is one of the areas we focused, and second one fluid, third one wellhead, then download equipment. These are the commodity we done as per the the spend analysis at that time.

54:35 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) Then we've done with specific suppliers. Then the different manufacturer analysis.

54:46 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) Then why we presented why we want to switch to the VMI. And this is the cost analysis part of it. Then this is the process actually. So the first be on master agreement then this master agreement will go to that this is same thing we implemented then it will go to supplier this is in the not in Adma levels it's in the ad-hoc level then it will go for the individual agreement within the group company Adma's ADCO is offshore then ADCO is onshore now then HG is the sour gas then we'll make the this is the individual agreement From the individual agreement, it will go to the call of orders. This call of orders will go to the supplier.

55:34 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) So at the time, all the categories, once we analyze, there are the different packages we went through. And the individual package, we've done analysis. So this is what we mentioned at the time, like the different on commodity, consolidated joint inventory, And here you can see what is in stock. So at the time what is in stock and what was consumed and what is expected delivery. So this will go for the future purchase. At the end, this is the future purchase. You can see this is the yellow color. We identify which are the future purchase required for individual company and the combined one. So this is the estimation how we prepared and this will go for the tailoring.

56:35 - Conference Room (MM- SKEC2 - L08) - Speaker 2 One question. In the previous slide in the previous slide you said it goes to the suppliers multiple supplier. Does it go to multiple suppliers or you already as part of the framework it goes to one here? Yes.

56:50 - Mohammed Ashic (ADNOC Onshore - PD) Yeah, multiple supplier.

56:51 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) So if I can.

57:01 - Conference Room (MM- SKEC2 - L08) - Speaker 1 summarize.

57:05 - Conference Room (MM- SKEC2 - L08) - Speaker 1 You would take the, let's say, from the material basket, you would take, let's say, from the demand Excel sheet, take all those materials, separate them into categories, and then go to market for each of these categories. And then once you award the supplier, then it gets, you would create a material number for each of these suppliers, and then the procurement, once you award the procurement.

57:49 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) Yeah.

57:53 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) So this is the attending lab. Now I'll explain the final layer, this operation manual. You can see my screen?

58:04 - Rahul Patel (ADNOC Group D&CS) Oh.

58:05 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) Not yet. Not yet.

58:15 - Conference Room (MM- SKEC2 - L08) - Speaker 2 Yeah, we can see now.

58:18 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) So, this is like this individual commodity for offshore, onshore we should separate manuals. So, it's very clearly distinguished like each supplier. So, for example, here it is two supplier and it's Baker Hughes and Technic PFMC. So, they both jointly signed and this activity and then we can share the document. So, we'll just highlight high level. So this is the entire operation. So we will make a release order here in the beginning. This is a pure release. Then it will go for manufacturing. Then after the shipment, customs and all, then it will receive under the VMI storage location. Then equipment received here. Then material reservation will come here. You can see MR. So this is the short-term plan. Then whenever the material reservation comes, this will go as an instruction to the supplier. Then supplier will dispatch the material. They'll prepare. If there is any assembly preparation, we'll go for workshop. Then prepare and go back to again supplier. Supplier responsibility to memorize this material up to our JT actually. So in offshore case, it's up to the rig site. So this is the closed network of the VMI. The detail I have can see here.

59:42 - Conference Room (MM- SKEC2 - L08) - Speaker 2 Okay, so one question here, when you create a release order, how do you know the exact quantity of the material was not reserved yet?

59:48 - Unidentified Speaker Right?

59:49 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) You're doing the reservation data. Yeah, no, that based on the material allocation plan, last time we have seen. So the material derives. So this is what we want. I like I currently happening in excel sheet.

1:00:09 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) So here so then we will get the stock update and all but in the team then we'll make a pure release in SAP then Ariba then it will go to the manufacturing either Technium FMC or Baker then they will do the same process. Then this is the entire process in detail showing.

1:00:30 - Conference Room (MM- SKEC2 - L08) - Speaker 2 This is within their domain in GDP, right?

1:00:33 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) Yeah, this is all in their domain and where entry is coming to us here. So whenever the material here, the SAP here, Arnok offshore SAP will come in picture. So they'll make a spin in Ariba, then it will trigger to our system. Then we'll make a GRM. Then after the GRM, it will go for the payment. Delivery note for the final. Then they'll make invoice. The remaining, they can put the invoice. And simultaneously, another input coming from the suppliers, the user side. Delivery tool service. This is the MR here. So the material acquisition will come. Then again warehouse. The warehouse, they will do the goods issue. This is the goods issue service. Then it will go to the If anything coming under the valid assembly supplier, then it will go. Otherwise, it will go directly to the JT. This is how the process will go like this. The system support will go in this way.

1:01:49 - Rahul Patel (ADNOC Group D&CS) or is going to be in place it's already in place already okay yeah so we've done uh first category in 2019 started okay so you're doing this category by category you are implementing this change yeah now all implemented now

1:02:06 - Conference Room (MM- SKEC2 - L08) - Speaker 2 all implemented so you're not creating they're not creating work order they're directly creating reservation, right?

1:02:19 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) Yeah, they are directly under reservation, yes.

1:02:23 - Rido Mardian (ADNOC Sour Gas - Procurement) I think drilling, drilling mostly are project WBS, so they don't create PM work order.

1:02:31 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) No, WBS directly under the reservation.

1:02:34 - Rido Mardian (ADNOC Sour Gas - Procurement) Yeah, reservation, they don't create PM job. No, 2 to Yeah, same like in the shore gas also the same, they are not creating work order, they are creating reservation. Reservation with the WBS.

1:02:47 - Rahul Patel (ADNOC Group D&CS) So you are using project system PS here for creating reservations?

1:02:52 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) No, we are not using. I think in Sorgas maybe you can explain. They are using before. Now you are using the project system now?

1:03:00 - Rido Mardian (ADNOC Sour Gas - Procurement) No, we are using that the reservation with the WBS network. Okay, so you are using.

1:03:08 - Rahul Patel (ADNOC Group D&CS) Okay, so with reference to WBS only you are creating reservation. It's not getting triggered through the PS system, like through network you are not creating reservations.

1:03:21 - Conference Room (MM- SKEC2 - L08) - Speaker 1 Abdul, you mentioned something about MRP. Can you elaborate the process?

1:03:40 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) Yeah, this is the same thing what is shown on the screen.

1:03:48 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) Which process? The entire process or? Yes, please, yeah. Okay, so now we're done with our demand, the what called allocation in the last time. So then it will start from So we'll receive a memo with the detailed order quantity from the drilling kit. The memo and quantity is specified there. We are treating as a demand reservation from the user side and it will sign as per the DOA. Then what we do, we'll convert this in the SAP. This is the first point we are entering to SAP and we'll issue the release order in SAP.

1:04:40 - Rahul Patel (ADNOC Group D&CS) Just a minute before, sorry to disturb you here Abdul, but then in between there is this contract step, right? So you've got a demand and before you release an order, there is this agreement step what we've discussed in 10 minutes before, right? The entire agreement.

1:05:00 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) Let's make an agreement. Yeah, three layer actually. Framework agreement in the very beginning after tender we'll make framework agreements already established. Then we'll make an LTPA like long term purchase agreement within the group company called work order. That's also done.

1:05:21 - Rahul Patel (ADNOC Group D&CS) Now we are in operation. But essentially for any drilling project it starts with framework then tender and then operations. So right now, you are explaining the operations piece of it?

1:05:36 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) Yeah. First tender, then framework agreement, then work order. Work order, not in the SAP terminology. So your context will be called work order, which is purchase order. Long-term purchase agreement.

1:05:49 - Rahul Patel (ADNOC Group D&CS) Okay. Long-term purchase agreement. Kind of a scheduling agreement in SAP.

1:05:55 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) This is in SAP, actually. This is also in SAP. This is all in SAP. In SAP, framework agreement and the long-term purchase agreement in SAP actually. But in the framework agreement, they didn't put a material number in framework agreement actually.

1:06:19 - Rahul Patel (ADNOC Group D&CS) Once this basic setup is done, then you receive demand and then using this three-tier architecture, you convert this demand into actual which is then used for operations.

1:06:32 - Conference Room (MM- SKEC2 - L08) - Speaker 2 The whole purchasing process is in SAP. We don't have any manual intervention there. Even for all the group companies, all purchases are being done through SAP only. And to do it through SAP, for example, if you are ordering a stock material, you need to have a material number created for it. Using direct text you can create or you need to have so that and to create the material number you need to go through MDG process.

1:07:11 - Rahul Patel (ADNOC Group D&CS) So essentially demand gets converted through MDG if there is metal not available you will create materials and essentially create all the master data so that you can execute the purchase process in SAP including vendors and everything yes yes yeah this will happen during uh creation of a contract which is ltpa okay okay so even before demand when the long-term purchasing agreement is happening you have list of all the materials and all the vendors which are going to get executed exactly and so this happens uh in one drilling life cycle So every time a new drilling rig comes this entire process is repeated that all the three tiers is what you're saying?

1:07:57 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) No, it's a event like tendering event. So for example, we established a tender in 2019 as we are shown from the timeline. So at that time after tender once award we'll make a material number at the time. So for example, we established agreement for 10 years, framework agreement for 10 years. Years from 2015 to 2021. So next 10 we will not see any tender for this category. So we will establish another new tender and after once we spread the framework agreement.

1:08:47 - Rahul Patel (ADNOC Group D&CS) So the overarching framework is a 10 process, which is happening here. Other are five years. OK. So there can be five years or 10 of tender process, which drives the overall planning or execution for that period. We decide which are the vendors which participating what are the materials which are getting executed through this process are identified up front and then those are executed for the period of 10 or 10 years or five years based upon the category.

1:09:23 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) Exactly. This is the

1:09:32 - Conference Room (MM- SKEC2 - L08) - Speaker 1 If you can go back, so if you can go back to the MRP process. The operation side.

1:09:42 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) OK.

1:09:45 - Conference Room (MM- SKEC2 - L08) - Speaker 1 And yeah, if you can just walk us through it.

1:09:50 - Unidentified Speaker Yeah.

1:09:52 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) Is it visible? It's OK. You want to end us? Yes.

1:09:55 - Unidentified Speaker Yeah.

1:09:59 - Unidentified Speaker OK.

1:10:00 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) So now, this is the starting point. Inventory will make release order.

1:10:11 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) Pure release actually.

1:10:15 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) So we'll use LTPA and from the LTPA we'll make a release order in SAP based on the quantity and requirement demand we received from the drilling.

1:10:35 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) This one clear?

1:10:36 - Unidentified Speaker Yes.

1:10:40 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) We'll make two different releases based on the suppliers. Actually, in October, we segregated some rigs for FMC, some rigs for bakeries. So wherever demand comes, clearly segregation is there. So we'll make two PO each time. So it will go to the supplier. Then supplier will prepare the material, manufacturing. It will take lead time like 8 to 18 months.

1:11:13 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) Okay. Then they'll ship the material.

1:11:19 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) It will arrive at the vendor premise. This is the vendor yard.

1:11:27 - Unidentified Speaker Okay.

1:11:29 - Conference Room (MM- SKEC2 - L08) - Speaker 1 Yeah, my question was, yes, you will get the demand from the drilling team, right? And you put this in SAP, what the quantity is, and then MRP will be triggered automatically, created with the PR?

1:11:53 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) No, no. This one, a manual process, actually. See, this is the... This is the pure release actually will make based on the demand quantity received from the drilling. This is for maybe next eight months or 10 months based on the data.

1:12:12 - Rahul Patel (ADNOC Group D&CS) Okay, so there is no MRP. We are directly creating a purchase order or PR and PO.

1:12:21 - Rahul Patel (ADNOC Group D&CS) Correct. So you are essentially procuring the quantity given by the drilling team, right? So you don't want any layer of planning so you just simply convert the entire thing into say purchase revocation converted to PO and then send it across release the PO to vendor yeah planning exercise actually we've done before that

1:12:39 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) so all the information they'll share they'll share even like MAP material allocation plan and also in addition we have one more team available from vendor as per this contract they called desk engineer so actually the planning also also the vendor responsibility.

1:12:58 - Unidentified Speaker They're part of our planning.

1:13:01 - Conference Room (MM- SKEC2 - L08) - Speaker 1 But this whole process, there is no MRP. This is all manual. You create manually the requisition and then once it gets approved, it turns into a purchase order. Yeah, and then the process continues.

1:13:15 - Rahul Patel (ADNOC Group D&CS) Exactly, this is for the long term. And just a question here, sorry. So are you using one time purchase order? You said you already have a long term agreement, which means you are just updating the correct quantity in the agreement and agreement is already there. Correct?

1:13:30 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) Agreement already there. We'll make a release. You're just releasing the release order. Yeah, based on the requirement.

1:13:38 - Unidentified Speaker Yeah.

1:13:41 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) So this is the lead time is eight months to 18 months. So supplier responsibility to keep the six requirement in their warehouse.

1:13:54 - Conference Room (MM- SKEC2 - L08) - Speaker 1 Yes.

1:13:56 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) That means 8 plus 6 means 14 ahead we have to place minimum.

1:14:04 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) So 14 2 ahead.

1:14:08 - Santosh Kumar Sharma (ADNOC Group D&CS) One small query on this. Is it applicable for every item used in drilling or is it specific to any particular category?

1:14:17 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) All the commodity as I related five major category covered, which is of the spend actually we can say.

1:14:29 - Rido Mardian (ADNOC Sour Gas - Procurement) Only the left is already covered under the LTP at the framework.

1:14:36 - Rahul Patel (ADNOC Group D&CS) So if we consider this as an process, then it covers all the dealing parts is the question. Do you have need filtering parts which are outside this process?

1:14:45 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) No, all all are covered 99% of the 99% covered.

1:14:50 - Rahul Patel (ADNOC Group D&CS) Considering you have so many parts available, this 1% parts would also be a big number in terms of count, right?

1:14:57 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) No, I didn't get to see. We have the, we already segmented all the drilling requirement in five major categories.

1:15:05 - Unidentified Speaker Okay.

1:15:06 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) This five major category already awarded with VMI and one major commodity So this is a very small spend actually. So if you spend wise, 99% our spend converted to VMI.

1:15:25 - Rahul Patel (ADNOC Group D&CS) Agreed. But from a part count perspective, beta are also part of our project scope, right? If we say from a percentage of the model numbers perspective?

1:15:36 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) Yeah. This is only coming under the normal agreement. It's also under the agreement. It's not a VMI agreement.

1:15:44 - Unidentified Speaker Okay.

1:15:44 - Rahul Patel (ADNOC Group D&CS) You're directly procuring it as per and keeping it in your stock. It's not a VMI stock. Exactly. The demand is same. The process same from a demand perspective. The team only gives a demand for how many delibits are required as per the sizes. You just procure it through your own team and keep it in your own SAP stock.

1:16:03 - Unidentified Speaker Exactly.

1:16:04 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) There's only difference.

1:16:07 - Rahul Patel (ADNOC Group D&CS) So there is no VMI in place, but the vendor is there.

1:16:10 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) Yeah, vendor is there, the contract is there. It's no framework, but it is local agreements.

1:16:20 - Rahul Patel (ADNOC Group D&CS) Yeah, got it.

1:16:23 - Santosh Kumar Sharma (ADNOC Group D&CS) And then we are not maintaining any levels for them, like any stock, safety stock, nothing. It's just like whatever requisition we receive, we order for the same quantity.

1:16:34 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) Safety stock is there for six months under the agreement. So the vendor is responsible to maintain six month requirement as a safety stock in their yard. So that's the reason the vendor is part of the planning.

1:16:48 - Santosh Kumar Sharma (ADNOC Group D&CS) For Drillbit or for these five specific commodities?

1:16:52 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) No, no, this one, the VMI I'm talking about. For Drillbit?

1:17:00 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) the previous methodology.

1:17:05 - Santosh Kumar Sharma (ADNOC Group D&CS) Similar to what we follow in MROs or what?

1:17:10 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) No, this is not similar to MRO. We have like the MAP run, so from MAP run it will show what quantity we have to order. Material allocation plan, it's a manual one, what we have shown last time. The similar one they will prepare for drill bits then it will show what is the shortage when we have to order it.

1:17:34 - Santosh Kumar Sharma (ADNOC Group D&CS) Okay and then that will take some account of the existing material in our stock in hand, stock in trunk, something like that or?

1:17:44 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) Yes, all of it. Everything we have to see all the visibility.

1:17:49 - Santosh Kumar Sharma (ADNOC Group D&CS) Okay, understood. Now we can focus on these BMI part.

1:17:56 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) Now where we stop now, material arrived at VMI yard, isn't it?

1:18:03 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) Yes. Up to here we reached, yeah. Now this is one step we completed. Received material, arrived material in Abu Dhabi. Okay, now next process will start. Next process we can say the short-term plan, which is six months window of the drilling operation. So here another team is in picture, which is called drilling tool service. So in offshore this team is managing all the drilling operation activities and this is in the same team of same under the same VP of DMAT last time we attended the sessions. So this is another team the drilling tool service they will make an MR in SAP.

1:18:48 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) Okay so this MR will go to the Veros team Then in parallel, it will go to the supplier as well. So the supplier also will get the information. So supplier will notify. This is happening now outside system. However, there is enhancement going on to trigger through the SAP. So then this MR will go to supplier. Supplier will make it ready to dispatch to the site. Then whenever they dispatch to our JT, Then they will notify for the goods issue to the velocity. They'll do the process in the system and they will make this MR2 issue. So based on the delivery note signed here. Then it will go to the jetty, from jetty it will ship to the rig site. Then from rig site they'll install in the rig, sorry in the well. Then any leftover material, it will come back to again as RR another process we call the return request. So this return request material will come to our Verosiad. Then again tool service they will make an reverse MR which is we call the return request in SAP. Then after the inspection by all the parties including our QAQC team and vendor QAQC team. So they'll certify that material in good condition reusable condition then they'll put it back into the VMI yard then it will update in the SAP in our system actually.

1:20:26 - Conference Room (MM- SKEC2 - L08) - Speaker 1 Abdul just a question I know we're jumping to supply planning a bit but so what when the reservation is created you know this for a short short term right for six yeah assuming this this is gonna happen this will be a stock transfer right uh from your virtual uh storage location to uh the rig right how is this happening like when you create a reservation So probably the question is whether it is a stock transfer reservation or it

1:21:18 - Rahul Patel (ADNOC Group D&CS) Is a consumption reservation like you issue the stock when it is moving out of the location or you're transferring the stock. In system when it moves out of the VMI location.

1:21:30 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) One second, I have to turn on colon sorry.

1:21:33 - Unidentified Speaker Yeah.

1:21:37 - Conference Room (MM- SKEC2 - L08) - Speaker 1 At the second part of that, This is automatic. The steel.

1:21:43 - Unidentified Speaker Bye.

1:22:17 - Rahul Patel (ADNOC Group D&CS) Yeah, the question was that when this reservation is created, is it a reservation to transfer the stock? Or is this reservation to consume stock from VMI location?

1:22:28 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) Consume.

1:22:30 - Rahul Patel (ADNOC Group D&CS) So in SAP, the stock is issued to the rig?

1:22:36 - Unidentified Speaker Yeah.

1:22:39 - Rahul Patel (ADNOC Group D&CS) Is it a cost center consumption moment?

1:22:41 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) WBS. OK.

1:22:44 - Rahul Patel (ADNOC Group D&CS) issued to the WBS project through this reservation. So if you and the trigger for consumption is once the stock is available at jetty or port.

1:23:00 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) No trigger for consumption no once the well arrived for example so we have seen the bar chart isn't it maybe I will show once again once the well scheduled for next month then they'll prepare the tool service or the material this.

1:23:17 - Rahul Patel (ADNOC Group D&CS) Probably I'll restate my question. The trigger for consumption in SAP like you've created a MERTIL reservation. The confirmation of reservation happens when the MERTIL reaches the JT, right?

1:23:31 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) Confirmation, yeah, you're right. So they make a delivery note also.

1:23:38 - Rahul Patel (ADNOC Group D&CS) Yeah, and then once it reaches the JT, So basically that's when in the SAP the reservation is confirmed and the stock gets consumed.

1:23:46 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) Exactly.

1:23:49 - Unidentified Speaker Got it. OK. Does that answer your question, Mohamed? Yes. Yeah.

1:23:57 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) OK. One more information I missed in between, the GR process. So the GRM payment. For the wellhead, only one category We have a three type of payment actually. The wellhead is happening the GR once the material touches in the VMI yard. So they can do the GR and we have to pay. So whatever the stock, both ad hoc onshore and offshore, lying under the wellhead category, it is ad hoc on to material.

1:24:28 - Rahul Patel (ADNOC Group D&CS) Okay, is it clear? Can you say that again please? Sorry.

1:24:31 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) Yeah, so whenever material arrived at So, as per this contract, wellhead contract, they can do the GR. Okay, once they arrive, immediately they'll make ASN. Okay, then we'll make a GR, then they can process for the invoice for the payment. Once we convert it to GR, it will become ad hoc owned material, not vendor owned material.

1:24:58 - Rahul Patel (ADNOC Group D&CS) And this is for only specific category is what you're saying?

1:25:00 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) Yeah, only specific category for wellhead. Second category we have OCTG and liner hanger and cementing accessories. This is happening along with the material issuance.

1:25:18 - Rahul Patel (ADNOC Group D&CS) Okay, so the payment to vendor happens when the material is issued.

1:25:24 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) And we have third category, download completion. This is one successful installation at rig site.

1:25:31 - Rahul Patel (ADNOC Group D&CS) Okay so based upon the category the payments to vendor differ so for some category like well head is the inventory the moment it is received in VMI yard the GR is done you you have to pay them. Exactly. But the stock is not adnok stock right even if you are paying it is still VMI stock.

1:25:51 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) Stock but adnok owned so we are we are segregating by ownership Yeah, since you've already paid to the vendor, the ownership comes to you legally. Yeah, exactly, yeah.

1:26:05 - Rahul Patel (ADNOC Group D&CS) And for the other stock, even if it is in VMI location, since you've not paid for the material, the legal ownership is not with you still.

1:26:15 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) Exactly, legal owner went around.

1:26:17 - Rahul Patel (ADNOC Group D&CS) Yeah. So in system, Does it differentiate anywhere from stock availability?

1:26:25 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) Stock availability only in the system, AdnoCount only will show in the system SAP.

1:26:32 - Rahul Patel (ADNOC Group D&CS) So even if it is VMI stock it is shown as AdnoCount stock. So it shows us your inventory.

1:26:38 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) Yeah our inventory and so as Ashik mentioned so in Onshore and ShoreGas it will differentiate by different storage location in AdnoCount will differentiate under the bin location.

1:26:51 - Rahul Patel (ADNOC Group D&CS) But the metal code is VMI material.

1:26:53 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) Exactly, all are VMI material, exclusive material now. And some materials are uniform.

1:27:01 - Conference Room (MM- SKEC2 - L08) - Speaker 1 So that's the two-step GR, right? You're doing the, I forgot the code, but yeah, the 107109, right?

1:27:12 - Unidentified Speaker Yeah, two-step. And 105.

1:27:16 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) 103, yes, okay. 103 for the first step and 105 for the final inspection and payment. Sorry, GRM, final GRM.

1:27:28 - Santosh Kumar Sharma (ADNOC Group D&CS) So, Abdul, for wellhead, once the GRM is done, it will show in the SAP stock. For few items, once it will show into our stock or for few items once installation at the rig has been done then it will show in the SAP history. Is this understanding correct?

1:27:54 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) Exactly, even though it is shown for other category immediately they have to issue out.

1:28:01 - Rahul Patel (ADNOC Group D&CS) Issue happens immediately only for wellhead the stock remains till it is delivered. So what happens when is the wellhead stock consumed in this entire process?

1:28:13 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) Yeah, whenever several had to stop the consumption, it is as per the MR plan. You are talking about replenishment?

1:28:23 - Rahul Patel (ADNOC Group D&CS) No, no. So the three categories are understood at one wellhead, second is at the jetty and second is at third is at the rig. When it is installed so first you get the stock and you transfer the stock second you don't have stock but you only transfer the stock and when it is transferred you goods issue you gr and goods issue happen back to back in step two and step uh second and third case but in the first case there is a difference between when the gr is happening and when the goods issue is happening which means for that the stock lies with ad-hoc. Yeah, so this this goods issue which is happening is it it is happening through material reservation process only is what you are saying even if it is our own stock. Yes, correct. And and for this the goods issue happens when it is Yeah.

1:29:35 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) OK.

1:29:49 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) So I can share this document. And I think the detailed step-by-step process is there and detailed write-up is there. And at the end, there should be a KPI matrix. So this is the KPI matrix, it's a vendor. And there is two KPI, one is the forward KPI to the vendor, another one is the reverse KPI also there, with AdNoc. Last one I think. The flowchart is here. The screen is loading. Now we see the flowchart.

