Inventory Planning for Chemicals (Production/Operations) 
vie, 27 de sep de 2024

0:03 - Vivekananthan Kathiresan (ADNOC Refining - HQ) Good morning. Good morning.
47:50 - Mohammed Ashic (ADNOC Onshore - PD) But then it made different okay this is production chemical but otherwise how do you know that you know maybe this maybe some months may be higher consumption some months may be lower based on maybe so how do you how you still you know manage to get monthly.

48:14 - Muhammed Najeeb Abdulla (ADNOC Offshore - IC) That's why we do have a weekly meeting for vital chemicals and generally monthly analysis of all the chemicals. From that yes we get any input any changes in the any changes from the end user and if there is any changes yes we communicate with the supplier accordingly again we will make sure that we have a continuous supply agreement with open purchase order which is already placed with the supplier. So we advise them to increase or decrease accordingly.

48:48 - Mohammed Ashic (ADNOC Onshore - PD) So this breakdown into days you don't face any issues of sudden increase or reduction in stock?

48:57 - Muhammed Najeeb Abdulla (ADNOC Offshore - IC) Yes sometimes yes you can see maybe like 15 days stock all of a sudden yes they will they will take it to the site.

49:06 - Mohammed Ashic (ADNOC Onshore - PD) so why can't demand be more more breakdown so that it is more accurate now since you're just for I mean calculating based on the requirement so it may it may have issues right so if the demand cannot be more

49:20 - Muhammed Najeeb Abdulla (ADNOC Offshore - IC) breakdown into monthly at least it will be more better monthly because you know why we because we have a multiple unit of measurement and supply and demand so to normalize this one or to have a common common ground yes we have converted into days so that you know management will be having a very clear vision about the operational sustainability.

49:50 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) Okay it's fine. One more thing actually this report whatever we see it's going to the senior management so to visibility to the senior management then to ensure the business continuity perspective. So if you show in liters and kgs, some things, they're so different. And also months. So this is the one last, I think, two years we are presenting. And almost, this is the matured reports in all aspects. It's reaching up to CEO sometime.

50:25 - Yaser Salem Bin Zubaa (ADNOC - GP) I think another question to Mohamad or we need to hear from Adnan Khonshur? Our consultant here, KPMG, or... You are fine with Adnan Khonshur?

50:40 - Mohamad Fakhouri (ADNOC Group D&CS) Yeah, I think we can move forward with the...

50:42 - Yaser Salem Bin Zubaa (ADNOC - GP) Yes, forward. Thank you, Mohamed Najib. Appreciate your inputs. Thank you, brother. You're welcome. Thank you, Mohammed. Anyone from Adnan Khonshur? Ali Mohamed or Ashik or anyone?

50:53 - Ali Mohammed Ahmed (ADNOC Onshore - PD) Yes. Adnan Khonshur, yes, please. Go ahead, Ali. As-salamu alaykum. Actually, I just yesterday I came to know about this meeting. So there was an invite the end user, but unfortunately they was engaged in other business. But I will explain in general the our process is almost similar to the offshore, but with slight. Simplified.

51:25 - Ali Mohammed Ahmed (ADNOC Onshore - PD) As a background, the production chemical process, from the demand till the apply, it starts in Honshur in the operation they use two systems, which is called Corrido and PIES. Corrido is for the chemical dosage rate and corrosion monitoring and bias also something related to that. Maybe that later on the inducer can explain it more. So we take the demand from the operation. We have around six field or site. We take from them five year plan. And then this forecast is updated in yearly space. Yeah, we take it. Just let me show you an example of the Excel sheet for. The forecast we use the structure we use in onshore.

52:35 - Mohamad Fakhouri (ADNOC Group D&CS) So so I'm Hamad. I know the plan is.

52:41 - Ali Mohammed Ahmed (ADNOC Onshore - PD) Manual say similar to offshore. Yes, exactly. It is manual in Excel sheet. We send it uh, every year to the supplier. And then it is so for the first year they give us in monthly base and for the other years it is in year as total. So this we take from them five years plan updated yearly. And then this yearly forecast is updated quarterly. Every quarterly we sit with them. If there is a change in the forecast and everything, then they have to send us a revised approved forecast. If there is no change in their consumption, then we'll continue the same. Then we go to the tendering process which pass through of selecting the chemical through extensive lab test and third party lab test field trial. End up by establishing long term price agreement. In all our price agreements, we have the VMI two-month buffer stock to be maintained as a finished product with the supplier, and three months of raw material, because for production chemicals, most of the items are blended locally. So once LTBA is awarded, before we issue them the call of order. We usually give the call order for every four to six months according to the consumption plan and then we give them our, we share with them our forecast of one year to the supplier to maintain two month buffer stock always and to maintain three month of raw material. Based on that every quarter, sometime, if possible, monthly, we do an audit to the supplier. We go to their yard and check. They send us, of course, the stock report in monthly base, and then we do an audit to that to verify the quantity available. As Najeeb mentioned...

55:07 - Mohamad Fakhouri (ADNOC Group D&CS) The buffer stock, where do you keep them?

55:09 - Ali Mohammed Ahmed (ADNOC Onshore - PD) In your warehouse? No, no, no, supplier's warehouse. We keep in our warehouse in BAP-13 one month. Okay. And two months with the supplier, plus three months of raw material.

55:29 - Mohamad Fakhouri (ADNOC Group D&CS) And where is that, the raw material? In Musafa.

55:35 - Ali Mohammed Ahmed (ADNOC Onshore - PD) Okay, so ADNOC? No, no, with the supplier. Raw material. So in case we have increase in demand, so within short period he can blend the chemical and deliver it to us. And buffer stock need to be tested and approved by ACL, the finished product. Because as you mentioned that every batch we take before we take it to BAPT it should be approved by ACL.

56:12 - Ali Mohammed Ahmed (ADNOC Onshore - PD) Now, this is about the forecast. Later on, once we have the LTB and everything, this is for daily work. We monitor the inventory in this Excel sheet. We have the monthly forecast because we took in already from some of the items are used with different fields, so we take the total monthly requirement. And then the current balance, we have a formula to calculate for us till when we have coverage. Current balance, where is this? Current balance in our store.

56:55 - Mohamad Fakhouri (ADNOC Group D&CS) But is it reflected in SAP?

57:00 - Ali Mohammed Ahmed (ADNOC Onshore - PD) Yes. Current policies reflected in ICP. In addition to that, we take weekly report from BAP-13. Physical, physical stock report from BAP-13 because what happened, sometime they receive the material.

57:13 - Mohamad Fakhouri (ADNOC Group D&CS) It might not be updated, yes.

57:14 - Ali Mohammed Ahmed (ADNOC Onshore - PD) Yes, it will not be updated. They process the DRN and this may take a few days. So we take from them weekly, every Monday, we take from them the physical stock status. And based on that, we update Excel sheet. We add to it the LTBA, the LTBA total quantity, balance from the LTBA, and then the BO issued quantity, how much are remaining. Based on that, we will decide when the next call of order to be issued to them. In addition to that, we add the quantity in LIMS if we have any quantity under testing, or if we have under any quantity already tested and we request for loading because sometimes loading or logistic from Mustafa delivering to Bob delay for a few days based on the truck availability. So we keep how many quantity we have for each chemical under loading.

58:27 - Ali Mohammed Ahmed (ADNOC Onshore - PD) Then every year, at the end of the year, we generate the consumption from sub, this report, consumption report. Your consumption report, it have also its own limitation in sub, because sometimes the field, because it's taken by the, I think by the GL, of the field, sometimes the field names are not clear or are not mentioned. The report, even if you ask for one year, still it will give you since 2020, then you have to filter it and remove whatever is not necessary from it. Once, from this we take every, we run the report manually and then We calculated in per chemical, per field. And in end of the year or the beginning of the next year, we have a meeting with the technical center and all the entity, the corporate compliant and the end user to tell them that this was your consumption and this was your forecast. And if there is a more or less by 20% what was the justification from their side to have that increased forecast.

1:00:00 - Mohamad Fakhouri (ADNOC Group D&CS) How often do you do this, conduct this meeting?

1:00:04 - Unidentified Speaker Yearly.

1:00:05 - Ali Mohammed Ahmed (ADNOC Onshore - PD) Okay, once a year. Yes, once a year. Even though quarterly we ask them to update, but sometime maybe they don't update when the consumption is increased or decreased and that we sometime if there is an excess increase immediately we ask them why this is an increase if there is sometime there is no movement again we go back to them and ask them and this all communication is done by email or through send them a report of excel sheet and it is out of SAP.

1:00:39 - Mohamad Fakhouri (ADNOC Group D&CS) So you have an official once a year meeting but sometimes there could be there are at You do get back to the business user.

1:00:52 - Ali Mohammed Ahmed (ADNOC Onshore - PD) Yes. This practice we used to do it before, but in did not 2024 have this meeting because of a lot of change in the field, a lot of change of the focal point, change in our department. A few people left extra load for whoever is handling the work. So that's why we were not able to do it in 2024. But still we are monitoring with them. This is the last report we share with them all. We share it with the technical centre and still we are waiting for their feedback.

1:01:33 - Ali Mohammed Ahmed (ADNOC Onshore - PD) That is in short from my side. If you have any questions You can.

1:01:42 - Mohamad Fakhouri (ADNOC Group D&CS) I think we are at time.

1:01:49 - Mohamad Fakhouri (ADNOC Group D&CS) So we still have sour gas, right?

1:01:54 - Yaser Salem Bin Zubaa (ADNOC - GP) And it's also refining and then a gas, sour gas. Can we go ahead, move forward with refining now? I think refining. Or do you need to have another meeting? That's I think OK, I don't got anyone from other confining. We need to. I think refining here with a core anyone or Noura.

1:02:26 - Vivekananthan Kathiresan (ADNOC Refining - HQ) Is there a good morning as an yes, good morning, please go ahead and good morning to all the team. As I said, from RNOC refining point of view, just to give you the chemicals handling of production chemicals. Basically, all the chemicals and absorbs and additives or MRP parameters set in SAP. So, any new items added through MDG, our end user will have an initial consumption plan and that will be set as an initial level. And frequent monitoring will be there thereafter once item started consumption. So our monitoring of all chemicals based on SAP set levels and past consumption history from material status report and the reorder point we are reviewing on bi-weekly basis based on the MRP program and any change in abnormal consumption either increase or decrease, we will go back to the end user and find out the reason is there only for it's a time being or it is a permanent or we need to find out and accordingly we reset the level if and the information is aligned with the operations teams. So according to the Revisiting the levels will be with the operations team regular basis. Also, any sudden demand arises from operational requirements, they will directly contact our MRP engineer for the change in demand for the upcoming years. When you come to the purchasing or point of view, the 90% of our vital chemicals are in, they have agreements and the balance 10% of items we are pushing through the agreements on regular basis. So the period of our LTPAs is minimum one year and it can go up to The reason for one year is due to some chemical manufacturers or suppliers are not agreeing the price due to raw material volatility in the market. Only few such chemicals are available and otherwise normally it goes for two years or three years.

1:05:26 - Yaser Salem Bin Zubaa (ADNOC - GP) any templates from your side and do you have any templates can share it with us.

1:05:32 - Vivekananthan Kathiresan (ADNOC Refining - HQ) No no sorry we don't have any template we go by the reports only the MRP area report as well as the metal status report which we used to download from the system and we do our analysis and calculations and only those anomalies we back to our operations team.

1:05:56 - Mohamad Fakhouri (ADNOC Group D&CS) So everything is, so the demand is, the plans are in SAP, Vivek? Yes, yes, yes.

1:06:07 - Vivekananthan Kathiresan (ADNOC Refining - HQ) There is no plan in SAP, right Vivek? There is no plan. Parameters is set. Parameters, yes. Reorder point, max level, all are set and based on that The level setting itself has a plan with the operations team.

1:06:29 - Vivekananthan Kathiresan (ADNOC Refining - HQ) All the anomalies we usually review with our operations team and the unit, especially the unit operators, unit operations, senior engineer or section head. We'll go back to the user and we will do our recalculation if it is really required.

1:07:02 - Vivekananthan Kathiresan (ADNOC Refining - HQ) While going for the LTPA part, we always consult with our operations team, what is the next five years business plan and according to that we will go for the new LTP quantities.

1:07:23 - Mohamad Fakhouri (ADNOC Group D&CS) But where is this located, five years, the five years plan? Where is this? Is this added in the system or?

1:07:34 - Vivekananthan Kathiresan (ADNOC Refining - HQ) I think our business team, they have this five years plan operation. They will have the years plan.

1:07:46 - Vivekananthan Kathiresan (ADNOC Refining - HQ) Okay, so I don't think it will have the item level information in that business plan, high level business plan, but still they consider as a basis for them to arrive the quantities for the requirement of the production chemicals or additives. Activities, observance, all those things.

1:08:11 - Arunkumar Viswanathan (ADNOC Refining - HQ) Just adding to that point, basically our business plan, what we receive from operations, we will utilize this as a base for our LP establishment of quantitative.

1:08:35 - Yaser Salem Bin Zubaa (ADNOC - GP) Mohammed Farooq, another question from your side.

1:08:49 - Mohamad Fakhouri (ADNOC Group D&CS) Sorry, I'm putting some notes while I'm talking. From my end, no questions right now. This is Isaac refining. Yes, we were good.

1:09:12 - Yaser Salem Bin Zubaa (ADNOC - GP) We need to, uh, anyone from, uh, sour gas.

1:09:18 - Unidentified Speaker Yes.

1:09:18 - Yaser Salem Bin Zubaa (ADNOC - GP) Yes, sir. Yes.

1:09:20 - Unidentified Speaker Yeah.

1:09:22 - Rido Mardian (ADNOC Sour Gas - Procurement) If I can share, uh, just, uh, I think basically for our noxious gas, the process for ordering chemical, not much different from the other MROs. We are a very simple plan. We have only one plan when, when we're also, if you can see my screen, Yeah, basically the process for the chemical procurement or ordering is always on the system. We don't have any manual reporting or any manual planning. Whatever we have, everything we are putting on the system, even if there are any reservations or requirements by operation teams, like one-year planning or shutdown planning, we always request them to generate the scope in the system directly or so. So it is always initially starting from the requirement which is on the system regarding the operations or drilling requirement for the chemical. Then, yeah, it is like from the safety stock, the end point or maximum. All the chemical operations is already set up, especially for the regular and high-consumer critical. All the parameters are set up in our system. So it is, we run it through MRP run the system run it for any any requirement that required to be to be purchased or to be actions. It will come to run order then. Then we review it whether we have to LDPA or we have to run it from the spot order from PR. Most of the item which is very, very fast moving and regular consume 80% is covered already under LDP. For another gas we just issue order if it is already have LTPA based on the requirement of the MRP planning run to replenish or to have additional requirement, it will be covered during the MRP run. So whatever the requirement from the plan order, we convert it to call of order, then the normal process will be continued. And if it is not having any LTPA, we just raise a support order. Normally this item only ad hoc basis like it's not very regular item like chemical which is required during the major shutdown or any item which is doing the startup only that this chemical required most of them is not going to have any LDPA because it's going to be two years or three years of consumption only. So we are issuing spot order for this one based on then the spot order will goes the normal process and then go to spot PO.

1:12:01 - Unidentified Speaker Yeah.

1:12:02 - Mohamad Fakhouri (ADNOC Group D&CS) Okay. Just if we can go back to just...

1:12:06 - Rido Mardian (ADNOC Sour Gas - Procurement) Yeah, this is a sample of our, like our dashboard that our operation always have, this one. Yeah, we are reporting to our operation and to the management for this. This is the most, I mean, production chemical are using by our operation team. It's monitored. They are looking at the safety stock level and the durability point. Whatever the item already below them, it will It is they will come back to us. This was already below the safety stock order. Then they will update for our action. What is your example that we already have a PO or we have one place in the PR. Then we're giving back feedback to them. So for them they need always this dashboard to be green and then all the time. So it is our obligation to to fulfill this on the board, especially for this item, which is. The most critical. And regular consumer item.

1:13:01 - Mohamad Fakhouri (ADNOC Group D&CS) Okay, those are the vital ones.

1:13:03 - Rido Mardian (ADNOC Sour Gas - Procurement) Yes. So basically...

1:13:08 - Mohamad Fakhouri (ADNOC Group D&CS) Just a quick question. In slide one, the requirement system ASG operations link, this is the tool?

1:13:19 - Rido Mardian (ADNOC Sour Gas - Procurement) No, no, no. This is only, I give only the workflow overview. Everything we have is already on the system and the ASG SAP system. Our operations have a requirement for regular consumption. There is a reservation. Even drilling, we don't have any drilling. Our drilling is different from Anaconsor or Anacopsor. We don't have regular drilling. We have campaigns based only. This year we have a drilling campaign. So they have already planned. They are already planning for how many wells they are going to drill. And they already have approved budget already based on that one. They put reservation in the system. So we raise any requirement for the drilling based on the system requirement. Then we generate whether we have LTPO or we have to raise the spot PRR. So everything for us, even for operation or drilling, We put it on the systems.

1:14:26 - Rahul Patel (ADNOC Group D&CS) So when you say you put it in system, how do you put it in system? Is it independent requirement you put or is the dependent requirement generated from some other? What do you mean dependent independent? So when you say this requirement is in system, do you put the forecast in system as an independent requirement or it is generated out of some other requirement from production?

1:14:49 - Rido Mardian (ADNOC Sour Gas - Procurement) from production or drilling.

1:14:54 - Rahul Patel (ADNOC Group D&CS) So when you say actual requirement from production, how do you maintain that in system? Because in SAP, if you have to run MRP, either you need to have independent requirement as an input.

1:15:05 - Rido Mardian (ADNOC Sour Gas - Procurement) They are raising a work order or reservation system. It's a PM job for reservations, yes.

1:15:11 - Rahul Patel (ADNOC Group D&CS) So they are managing work order or reservation, and then based upon that work order reservation, the requirement is generated. Yes. And this requirement is for how long period? Like is it immediate basis consumption only? Do you get a forecast for planning for like long term planning?

1:15:31 - Rido Mardian (ADNOC Sour Gas - Procurement) Long term planning only during the major shutdown they put on the system for like five years, three years. No, we don't have any item level. Same like refinery. No, we don't have all this kind of forecasting for five years. But in case of like our production capacities increase due to the expansions like we have some expansions ongoing which is with an operation will have a mention given to us that it will have impact in the corruption of chemical because of the increase of production they will have impact on the chemical so they forecast this one they forecast but in our side because we already have some buffer stock like safety stock already maintained we keep it on the stock or in the tank so those also we're not going to have direct impact to their production because we already have so like the forecast that okay the 20 percent will be increased based on the production increase the consumption the chemical is going to be increased they will inform us earlier like because also this is not going to be I mean regular once the stable operations down then we know already how much consumptions then we set up we update again the parameter the safety stock and the order the point then we we establish again, then we put on the system.

1:16:47 - Rahul Patel (ADNOC Group D&CS) So the execution is based upon the reorder point planning only. So yes, the main planning happens. So you use reorder point planning for your MRP so that whenever the inventory goes below the reorder point, it is always fulfilled. And then if it is a LTP, then it goes fulfilled through LTP or spot orders. Another question, how do you define LTP? Do you do any planning outside for like annual planning so that you can talk to vendors for LTP like what is the total volume for the year and for next 2-3 years for LTPA planning?

1:17:20 - Rido Mardian (ADNOC Sour Gas - Procurement) Yeah, for initial LTPA planning we always based on the consumption based on the on the yearly based consumptions. So like example you want to establish for one chemical productions LTPA for DGA and we have a forecast like one almost in average year we are having like 2000 ton per year. So we're going to establish like three years planning LTPA. So our operation also, we consult with operations within the three or four, five years. Do we have any expansion or any major shutdown upcoming or any requirement which is separate from the regular consumptions? Then we communicate to them. Then if they have, then we add up on that margin to the LTPA from the regular consumption. Then we establish based on that calculations. Oh, thank you.

1:18:12 - Rahul Patel (ADNOC Group D&CS) Which means that you look historical. You look historical consumption to come up with the long term planning for LTP. And then if there is any any additional maintenance or additional expansion plans, then those are added on top of the historical consumption for operations and then the LTP quantity is finalized.

1:18:31 - Rido Mardian (ADNOC Sour Gas - Procurement) Yes.

1:18:33 - Rahul Patel (ADNOC Group D&CS) But this would be an yearly or annual like it would be an annual activity, right? Every year you will be looking at.

1:18:39 - Rido Mardian (ADNOC Sour Gas - Procurement) Yeah, yeah, yeah, yeah. For the the parameter is that we review at least six months basis. Six month basis. If there's any any consumptions that increase or some of the chemical is already replaced by another chemical or another type, then we are corresponding to them also in regular like six month or so.

1:19:00 - Rahul Patel (ADNOC Group D&CS) So safety stock reorder point min max parameters are reviewed every six months.

1:19:05 - Rido Mardian (ADNOC Sour Gas - Procurement) Yes. In the moment, every six months for us, especially for the fast-moving item. OK.

1:19:23 - Yaser Salem Bin Zubaa (ADNOC - GP) OK. Another question for Sourgaz, Mohammed.

1:19:29 - Unidentified Speaker OK. First.

1:19:35 - Mohamad Fakhouri (ADNOC Group D&CS) Not from my end.

1:19:36 - Rido Mardian (ADNOC Sour Gas - Procurement) Thank you. We have also LTPA which is under consignment for us. So it's good for us to to get that the value because we know that chemical having value. Yeah, so it is good for us to keep it under consignment and the consignment is reflect on the system also.

1:19:57 - Rido Mardian (ADNOC Sour Gas - Procurement) And for those LTPA items, mostly for us is very short lead time because already We ask them also to cover at least our two months consumptions in their premises. So whenever the replenishment comes, they have less than one month. Delivery only.

1:20:23 - Mohamad Fakhouri (ADNOC Group D&CS) OK.

1:20:32 - Mohamad Fakhouri (ADNOC Group D&CS) OK.

1:20:33 - Rahul Patel (ADNOC Group D&CS) The question, sorry, are you doing any stock transfer?

1:20:39 - Rido Mardian (ADNOC Sour Gas - Procurement) Between or yeah for chemical is not very regular. Just in case like we have It's ad-hoc, very rare. There's some issue with the delivery, with the supplier only, then we ask for stock transfer chemicals, but it's very rare.

1:21:11 - Mohamad Fakhouri (ADNOC Group D&CS) Now, do you have any other questions?

1:21:17 - Yaser Salem Bin Zubaa (ADNOC - GP) No, I think I'm good. Thank you.

1:21:21 - Yaser Salem Bin Zubaa (ADNOC - GP) Okay, now let's move with Adna Ghaz. Anyone from Adna Ghaz here? Ibrahim or Balaji?

1:21:30 - Aboobacker M. (ADNOC Gas - PD) Hi, Assalamu Alaikum. Yes, how are you? I'm good, Alhamdulillah. How are you, brother? Fine, Bas. Go ahead.

1:21:38 - Aboobacker M. (ADNOC Gas - PD) we have two types on demand and based on the MRP on demand based on the user reservation. We will go for replenishment and we have LTP agreements also there for the fast moving and high consumption items. So everything based on the user reservation for Adnac. I guess.

1:22:08 - Aboobacker M. (ADNOC Gas - PD) We have user operations. They have their own plan. So they will make the reservation.

1:22:16 - Unidentified Speaker Yeah.

1:22:17 - Mohamad Fakhouri (ADNOC Group D&CS) The reservations are in the system. Yeah, but automatically or?

1:22:26 - Aboobacker M. (ADNOC Gas - PD) No, but for not like even though we We have a MRP parameters available, but for the regular for the chemical catalyst. No, we are in regular basis. No, we will review and we will make the spot order or release on this call of order.

1:22:53 - Rahul Patel (ADNOC Group D&CS) This reservations are for how? Or like is it like immediate consumption only or do you have this reservation period for future periods as well?

1:23:05 - Aboobacker M. (ADNOC Gas - PD) Yeah future period only based on the delivery period so user will make So they will maybe will go for order.

1:23:26 - Rahul Patel (ADNOC Group D&CS) Do you also use reorder point planning with MRP?

1:23:29 - Aboobacker M. (ADNOC Gas - PD) Yes, some of the items we have a MRP setup already available. So that when there is any consumption will it will be not triggered through a marking. And if it is any urgent also we need to do know especially for chemical and catalyst and unlike other normal items so we'll do the regular review and replenishment.

1:24:06 - Mohamad Fakhouri (ADNOC Group D&CS) Okay I just want to just understand How is the demand being done? Is there a plan? Yes, it's operations.

1:24:22 - Aboobacker M. (ADNOC Gas - PD) They have their plan. Based on the plan, they will raise the reservation. Through email communication, when there is any urgent requirement, they will send the email. In the email request. Not in the SAP. Not in the SAP. They have their plan operations. They are maintaining their. In the SAP we can see the reservations.

1:25:01 - Santosh Kumar Sharma (ADNOC Group D&CS) So hi, this is Santosh from KPNG. How this plan and the reservations are getting linked by you guys because I what I understood operations teams are having some plan which will help you in the long-term planning and whatever reservations which they are doing that is the consumption the immediate requirement.

1:25:24 - Aboobacker M. (ADNOC Gas - PD) See that we have two types one PD I mean on-demand items on-demand chemicals so another we have the stock setups available for on-demand So based on their plan, they will raise the reservation and also they will communicate with us. So we will will raise this part order or LTP.

1:25:47 - Santosh Kumar Sharma (ADNOC Group D&CS) So on demand will have fulfillment through via LTP or on spot on spot on spot purchases.

1:25:57 - Aboobacker M. (ADNOC Gas - PD) So you MRP type PD for on demand.

1:26:00 - Rahul Patel (ADNOC Group D&CS) Yes, PD yes. OK.

1:26:05 - Aboobacker M. (ADNOC Gas - PD) Items will not have any stock setups. Only with other MRP type is it or no will have a stock setups.

1:26:12 - Unidentified Speaker Yeah.

1:26:13 - Rahul Patel (ADNOC Group D&CS) As and when you need any requirement, only that requirement will be fulfilled. So whenever they need anything, they'll just raise the reservation and only that much quantity based upon the reservation quantity will be procured. Yes, correct. OK. And then the other regular items fast moving items will have z1 mrp type which is reorder point planning yeah that will yeah so automatically will go no against mrp run yeah and so and then the consumption happens to reservation so so users can keep on consuming this term of reservation the stock will go below if the stock goes below the reorder point it will trigger procurement uh based upon the most replenishment parameters defined in system how frequently review the use to review this parameters?

1:27:01 - Aboobacker M. (ADNOC Gas - PD) Will review was based on the user request to sometimes a yearly review will be taken place, not to change the stack setup.

1:27:10 - Mohamad Fakhouri (ADNOC Group D&CS) OK.

1:27:19 - Santosh Kumar Sharma (ADNOC Group D&CS) And even for the MRP items are these PRS getting automated triggered or? There is some manual interventions happening before that before the creation of PR by you guys.

1:27:33 - Aboobacker M. (ADNOC Gas - PD) No, for MRP wherever we have the MRP stock setups available, solve through MRP run only. If in case if there is any abnormal consumption, if there is any margin requirement, then I will go for the manual. Manual PR.

1:27:56 - Rahul Patel (ADNOC Group D&CS) Understood what is the frequency of this MRP job? Is it running daily, weekly, monthly, monthly, so monthly you run the MRP job which looks at all the

1:28:08 - Aboobacker M. (ADNOC Gas - PD) Consumption throughout the month, inventories and triggers the month and yes, yes, yes.

1:28:15 - Unidentified Speaker OK.

1:28:18 - Arunkumar Viswanathan (ADNOC Refining - HQ) Satoshi in short now. Like Arnok Gas, Arnok Refining, Sour Gas, we all operate in the same place. The 2-1-H-1 category, Auto Replacement through Auto PR and Auto PR we used to, if there is an agreement, we used to convert to an Apollo product. If it is a PD item based on the work order reservation, we will raise either a spot PR or an agreement.

1:28:48 - Rahul Patel (ADNOC Group D&CS) So there is no essentially demand in place. Probably you might use demand only for your LTPA planning.

1:28:58 - Arunkumar Viswanathan (ADNOC Refining - HQ) The demand is for us, it is like a business plan. Based on the business plan, the agreement will be established in order to replenish the stocks on a timely basis.

1:29:08 - Aboobacker M. (ADNOC Gas - PD) Yeah, so the demand is only driving the long-term planning for the high consumption items. So those items will review and will go for LTP agreement.

1:29:21 - Rahul Patel (ADNOC Group D&CS) Yeah, so basically the demand is driving LTP agreement so that you can have a better negotiation with the vendors. But then on day to day basis, the consumption happens based upon the lead time reorder point planning. Through a mouse.

1:29:36 - Aboobacker M. (ADNOC Gas - PD) Yes, yeah.

1:29:42 - Arunkumar Viswanathan (ADNOC Refining - HQ) So basically what I mean from this Any new system is going to be coming with other than SAP?

1:29:51 - Rahul Patel (ADNOC Group D&CS) So probably this is something we'll have to discuss through the 2B discussions is what is the opportunity because essentially what we're looking at are two types of different business processes in place. One is demand based and second is MRP reorder point based. So that's something we'll have to review that what improvements Can IBP, so we are talking about IBP as a solution for collating demand and coming up with proposals for procurement. So we will have to, we'll get back to you on what solution can help in which scenario or whether there is an opportunity to have a common solution across all the chemicals.

1:30:43 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) I don't know. You're aware of this project, isn't it, IBP?

1:30:47 - Unidentified Speaker No.

1:30:48 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) You're talking about this project? OK. No, I'm not aware of this project. Yeah, yeah. Apart from SAP, you are going to get another tool called IBP. It's also a SAP tool only. So this is called Integrated Business Plan. So now, I brought it to KPMG and GoECM implement in within network system so now the this session as is process after as this process as Rahul mentioned so they will conduct it to be then we'll see what is the approach we can you try out to utilize this tool effectively for different commodities so we understand that so most of the group company they are managing chemical differently than other MRO That's the reason this session conducted today.

1:31:35 - Unidentified Speaker OK.

1:31:43 - Ibrahim Binmadhi (ADNOC Gas - PD) I think you need some other guys or we can.

1:31:48 - Mohamad Fakhouri (ADNOC Group D&CS) No, I know we are way past time, so thank you so much everyone. Thank you for your insights. Next steps is. So we're gathering this information and to Rahul's point, we will be conducting also design sessions after this phase. I'd like to show you what can be done in SAP IBP.

1:32:24 - Mohamad Fakhouri (ADNOC Group D&CS) So thank you so much, everyone. Great day. Thank you very much.

1:32:30 - Ibrahim Binmadhi (ADNOC Gas - PD) Mohammed, can you share this slide because we attend at the end of the test. Can you share the slides, please?

1:32:39 - Mohamad Fakhouri (ADNOC Group D&CS) Yes, yeah, yeah.

1:32:40 - Rahul Patel (ADNOC Group D&CS) Thank you very much. Just one more thing, if we can, can we get the templates, the Excel templates which were discussed in the first half from a demand planning perspective, then that would be helpful for us to look at current processes in detail.

1:32:59 - Rahul Patel (ADNOC Group D&CS) Abdul, will you be able to help us get to templates? Offshore and onshore templates, what you reviewed initially for demand planning.

1:33:10 - Mohamad Fakhouri (ADNOC Group D&CS) Yeah, that's what's how it is also showed.

1:33:15 - Muhammed Najeeb Abdulla (ADNOC Offshore - IC) Sure, we'll share that one.

1:33:19 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) All the team members can share their template to the and today. Accordingly, we'll collect and we'll give to them.

1:33:30 - Khalid Sarfaraz (ADNOC Group D&CS) Yeah. Thank you so much. Thank you everyone. Thank you all. Thank you very much. Thanks everyone. Thank you. Thank you.

1:33:55 - Unidentified Speaker you
