FW: Demand Planning - Drilling Materials 
jue, 19 de sep de 2024

0:16 - Khalid Sarfaraz (ADNOC Group D&CS) Assalamu alaikum, Ahmed.
51:32 - Bogdan Andres (ADNOC Offshore - DMET) Yes, and when building systems, we have to be aware that flexibility is needed. Yes, the contract says 10 months and it's signed by everybody. But if the market, logistic, I don't know what happens at the global level, those 10 months cannot be achieved, I need to be able to have flexibility. I cannot force the system to consider 10 months only. These things happen. Or emergencies, for example. We sometimes order an item with a lead time of 10, we order it in six, because we reached an agreement with the supplier. So flexibility on both sides, plus and minuses. It cannot be fixed. Yes, we have a contract. With reality. In reality we have to find solutions.

52:17 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) This part is clear because if you look at the historical lead time it will not match with the contextual lead time. So maybe the historical there is something happened and this lead time will update in the system. So we don't want to take this lead time while calculating the forecasting part. So there is already a table available with us, but then said per contract per supplier and per item. So this can we we have to provide a flexibility to feed this lead time as well for any calculation purpose. In addition to the SAP lead time.

52:55 - Patel, Rahul We we we maintain this table with material contract and vendor combination lead time.

53:09 - Patel, Rahul and the inventory can be both at vendor end which is called vd and at adnox end and that is how you separate segregated you have two kinds of inventory and this excel sheet basically essentially acts the main planning sheet where you have all the inventories you have all the lead times and you generate requirements which are then executed through SAP.

53:32 - Fakhouri, Mohamad Just going back to the changes. So what changes do you reflect? Is it the major changes that you reflect? Or because Mahmoud, you mentioned that almost on a monthly basis there are, let's say, minor changes.

53:55 - Bogdan Andres (ADNOC Offshore - DMET) So all the changes are reflected. So Mahmoud, go ahead. Changes are reflected as you well I showed the map so the dates of the well if the well the same well changes the dates for example the spud is changed from November to spud in December because the league had any issues we will update it that data comes automatically from the planning chart that Mahmoud showed and being updated in our chart so our chart will show that we have less consumption now and more consumption in December so the chart will automatically and we'll have to take a decision maybe we need to reduce the next order or right we need to take a decision okay okay do you load this chart back to um what is the tool called

54:40 - Fakhouri, Mohamad again d dws no d dws okay okay so initial requirement comes from dws but then every everything else happens at Excel?

54:57 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) Or the chart?

54:59 - Bogdan Andres (ADNOC Offshore - DMET) Yes, you will see when, inshallah, testing will start, you will see that the changes are frequent and the system needs to be incredibly flexible to be implemented in reality. Otherwise, we're going to have a rigid plan and everything will follow offline to be able to manage all these changes.

55:21 - Patel, Rahul so when you say changes this changes also lead to your procurement changes because if the plan has changed then which means you either will have excess inventory or you will have you'll have to move your plan to adjust the

55:33 - Bogdan Andres (ADNOC Offshore - DMET) lead times which means your procurement proposals will change based upon the changes in the plan correct as a general comment yes but then yeah if by changes you assume that every time we'll have a and overstock because of this. No, really, because an item has a lead time, right? When I order it, there is a certain amount of time until the material starts production. In that period of time, I notice a change, I contact the VMI supplier and say, don't start manufacturing because I have less consumption forecasted. We had a change. So we basically just delay that original Yeah, in agreement with the supplier. There are different measures to cope with the changes. That's why I'm saying flexibility is.

56:24 - Bogdan Andres (ADNOC Offshore - DMET) Got it, the system must be flexible.

56:30 - Mohammed Ashic (ADNOC Onshore - PD) And Bogdan, how do you maintain the bill of material? The bomb for the completion types that these are the different types of materials that need to be used when you select a specific specific completion code or material. How do you maintain that?

56:47 - Bogdan Andres (ADNOC Offshore - DMET) Yes, we have a set of generic rules per asset and changes, I mean exact requirements can only be confirmed by the end user, meaning the drilling or completion team, the guys that are managing that.

57:03 - Mohammed Ashic (ADNOC Onshore - PD) Bogdan, that's not my question. The question is like how, like the material types, suppose completion codes, where do you completion codes okay this type of well will use this completion code so this completion code will have the specific set of material yeah that's defined

57:20 - Bogdan Andres (ADNOC Offshore - DMET) the completion code is inserted in the system by the end user by the drilling and completion teams now that is yes the completion yes I think I think he is asking for the completion basket correct yes yes basket is a different thing yes yeah the basket is agreed Yeah.

57:42 - Mohammed Ashic (ADNOC Onshore - PD) No, but where is that maintain like, you know, that is Excel sheet. Yeah. So each completion basket is separately maintained in an Excel sheet.

57:54 - Khalid Sarfaraz (ADNOC Group D&CS) Yes.

57:57 - Mahmoud Abdel Aziz A Abdel Aziz (ADNOC Offshore - DMET) If you can share one, one of the completion basket from your side. Sorry, to me, maybe she can, she can share one, one of the completion basket.

58:08 - Bogdan Andres (ADNOC Offshore - DMET) next issue. Mohamed, just to clarify in the meantime, I think that this is where a fundamental difference is between onshore and offshore. Onshore has implemented these baskets as far as I know in the DWS, so maybe you can download it in an easier fashion. Offshore is still in progress of implementing that. However, even after implementing implementation, we expect changes. There will be changes due to multiple operational reasons. So, as a conceptual, let's say we can reach an accuracy to the basket, but I'm sure 100% will not be able to maintain.

58:49 - Mohammed Ashic (ADNOC Onshore - PD) So, no, so then like it's a predefined basket, right? Once you have a new change, you make a new basket, right? Not that same. You use, you amend the same basket?

58:59 - Bogdan Andres (ADNOC Offshore - DMET) We'll have an infinite It will never end. Like the string, the length of tubing, for example, can be 10,000 feet, can be Each well can change it differently. The safety valve can change from one type to another and so on. I mean, if you look at all the combinations possible, it would be an infinite number.

59:26 - Patel, Rahul So a general rule needs to be applied and then flexibility needs to be in the system other than purchasing or inventory record what all information is available in SAP with respect to the process we've discussed okay and now for

59:47 - Fakhouri, Mohamad this one all the demand so so far this is the demand phase what we discussed yes availability phase one thing I know this was we is onshore and offshore would have very similar process or there's some slight changes from the demand perspective.

1:00:13 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) Yeah, it's good. So let's move to the maybe onshore demand planning. Then we can switch to the available. What are the information available?

1:00:20 - Mohammed Ashic (ADNOC Onshore - PD) Yeah, that's fine. Yeah, so maybe from somebody from onshore Can you orienter to explain, Ahmed, or how your demand planning has been done?

1:00:42 - Ahmed Elkasrawi (ADNOC Onshore) Actually, you want me to present?

1:00:46 - Fakhouri, Mohamad Yeah, you can explain. Whatever is easier for you, yeah. Whatever is easier for you to explain the process.

1:00:51 - Ahmed Elkasrawi (ADNOC Onshore) Okay, no problem.

1:01:00 - Khalifa Al Yafei (ADNOC - GP) Salaam alaikum, Ahmed. Salaam alaikum. I just want to tell you one thing, and I remember that you have a system related to the DWS and how to calculate the material in the business plan and the DWS. I think it was working with the If that application, for us, you can share it here with the team here, so they can, let's say, take information from us and see how it works. Okay, no problem, Khalil, Inshallah. You know if you can see my screen?

1:01:47 - Fakhouri, Mohamad Yes, we can see your screen.

1:01:51 - Ahmed Elkasrawi (ADNOC Onshore) So basically this is, uh. What the offer use as the DBC? We call it here DWS drilling and work over schedule. It basically lists all the different fields, different rigs and then the schedule for these rigs with information. We classify rigs based on the well design and then the completion at the end. Of the world. And each one of these have their own, uh, material basket. Like we were talking about ship was mentioning earlier. So we have a predefined set of requirements. Uh, bear will type their completion code. I don't know if you can see, uh, is it? I mean, is it clear or it's a lot of ethics and zoom in a little bit. So you can. You can see here, um, for example, uh, and then this is what the completion was, which is a water injector, and we can explain this later. But it's this. This is basically defines what is the will final objective. And this is what is the objective lost the zone that is targeted by this one. Design. So linking everything together with the field can help us, uh, put a specific material basket for this kind of a design. Of course, the combination is or the different combinations. I think get to like maybe in like the late hundreds 1000 plus, but the number of completion codes are, I think close to 200 something now. But because we link everything this is what defines eventually what is required, uh, for the specific way. Uh, this information is maintained. The material basket that I'm talking about is maintained in a different system. Uh, I'm trying to load it. So we call electronic world delivery process. B. This is where we keep the material baskets for the different, uh, this is where we assign it. And then this is where the system, uh, later on gets the information from I'll explain and then I'll walk you through what we do. So I'm just going to choose one of the completion codes. So this is an old producer. It's in bad. It's 80 materials. It's carbon steel. And these are the quote from with this is a generic item number, so it doesn't specify the supplier, but just specify what is the item and the quantities required. So this is one of the points Bogdan was talking about, that the design could be different from one location to the other, and that's why they need the flexibility. What we do here is try to come up with the best guess that will meet or match the majority of the world that will run this specific application. Because we have completion codes, their field, so we can limit it a little bit in terms of some fields, we know the drill shallows, some fields they go deep. So we can, again, separate their fields. So we can, instead of this 500 joints of tubing, others will need 200, 300, and so on. But this is always an established estimated number, so it doesn't say that this specific will in this, uh, I mean on this district will on the leader list will need exactly 500 joints. It could be 450. It could be 530, so it's somewhere around, but it's a comfortable number for us to base our estimations on.

1:05:47 - Fakhouri, Mohamad And how do you change this? Let's say yes, uh, your estimate was 500 and E W. Sorry, uh, that's 500. But then later on, when do you put the actual quantity?

1:06:06 - Ahmed Elkasrawi (ADNOC Onshore) So we do not put actuals because we do not plan that close because to get the actual, we have to be maybe a month, two months ahead of the well. There is no point of putting the actual at that point in time because orders have already been placed, material is already on the ground. Because this is mostly for planning purposes, right? We're talking about maybe a year ahead, at least the lead time of the material. So we're talking about maybe eight months plus. We're not planning for something that it's coming next month or the month after. So we still use the same numbers. We do not change these numbers. We do not change it based on reality. We look at the consumption after the end of the month, and we try to adjust our best guesses. Maybe this was overestimated or underestimated and so on. But we don't update this bare well. We do not look at material bare well, unless we have a special project that we know that there is a design, a unique design for these wells. But this is a general completion code that we use for all the wells that call for the specific, I mean, like the same completion code.

1:07:10 - Patel, Rahul But I mean- Do you keep any safety stock to adjust these changes? Because you may plan for 500 wells you may need 510 so 10 comes from safety stock which you will know only when you are trying to like execute it.

1:07:27 - Ahmed Elkasrawi (ADNOC Onshore) So basically this is this is embedded in the calculations of this so because again like I said this could cover a lot of wells so the 500 should be enough to cover all of the wells plus a 10 percent. Let's say we call it as a safety factor that needs to go to the RIC side as well, because of damages on the rig side or something, they might need replacements and so on, especially in material that requires more than one unit. Material that has one unit, this is basically set so they know that for D12, they can need one unit each. So this is much easier to plan for, other than like OCTG, fluids. This control line, so this is just feet, so it comes in a reel anyways. So this means this is just one reel of 300 feet, but they just put it this way for their planning purposes. But for us, like crossovers, tubing, all of this, this is all could change based on, like Bogdan mentioned, slight changes in the design. This 500 could be dropped. This number of crossovers could be increased. So we always plan for a bulk period. We don't plan for well by well, or we don't look at well by well specifically, but we look at the requirements on a monthly basis. And everything balances itself. I mean, after a while you will keep more because some of the worlds will will use less. Other will use more and so on. It's just gets balanced at the end. Unless we see something that's major that we are maybe overstocking of specific item, then we need to go back and recheck the designs and compare historically these specific completion codes or the completion codes or the design that use the specific item and where is. The, let's say, the miscalculation or the change, the trend change, let's say, in using this specific item.

1:09:23 - Fakhouri, Mohamad And who's responsible for this? Is this the engineer, planner?

1:09:28 - Ahmed Elkasrawi (ADNOC Onshore) So yes, this tool here, the responsibility falls with us as drilling material team. We maintain these baskets and we are responsible to update them as we see fit. With that being said, I'm just showing you this just to explain to you the logic. However, now with the VMI, and it was mentioned earlier that the VMI stocks are not actually reflected in SAP or anywhere else. It's all manually communicated to us through Excel sheets. We do everything now in Excel because this system was actually linked to another system that is accessed by the inventory team. And other control. That was of the cream. I'm an ashek. Uh, where this information plus this information is translated into monthly requirements or monthly consumption plan. And based on this, the system will also capture any orders that were in place with the delivery times and everything. So you make or we make, uh, an educated decision on when we need to place orders if we need to. How long this material is going to cover us for and so on. But with the VMI, this process, let's say, broken down because the deliveries are in the supplier's yard. It's not registered in the system properly. We can always play with when we need the item to arrive. If we have projects that were canceled, we can delay items, we can cancel items. If we need material earlier, we can advance items. So the process with the VMI needs to be a little bit more flexible than before, than when getting the material directly to our stores. We don't use this AMRB tool anymore, and we depend on the same information or the same base, which is again, the schedule that's here plus the redefined baskets. That's always, again, increasing because whenever there is a complete new design, there's a new basket and so on. With this information together in an Excel sheet, we have to allocate this to different suppliers. We communicate with the suppliers and start planning for when the orders needs to be we have to make sure that the specific design can take responsibility for the specific well. Or in our cases, it could be part of this specific one. Because the city G specifically, but also other contracts, not all suppliers can supply everything. So we have to make sure that this specific design can be supplied by, uh. One of the suppliers or who can supply this item and who has the item in how we place the orders, because we have different stocks with different suppliers of different items. It's a mix, not one place where all the stock goes and we know exactly what's the coverage overall. We know that coverage overall, but each supplier has different stocks, they have different allocations, they provide different material, and we have to take all of this into OK, this is yeah, quick question around it.

1:13:03 - 1Patel, Rahul So when you say you have a monthly plan, does it include? Adnok manage inventory and VMI as well. Together the plan is of total materials.

1:13:13 - Mathew Koskoski (ADNOC Onshore) Yeah, but if you want me to share how it looks.

1:13:17 - Ahmed Elkasrawi (ADNOC Onshore) Just give me one more minute. I just want to mention something quickly so. The question is to. AdNoc team planning for this project, because I know our digital units, at least AdNoc Onshore IT, they were working on upgrade for this DWS. This is an in-house tool that was built, I think 11, 12, 15 ago. They basically upgraded this and they created a new version. That's what Offshore is going to use now. But part of that project was what we called a material like a live material check. So I don't know if the two projects will collide at some points in terms of objectives, because the target for that tool was whenever there is a devised plan or a change in the plan, the system will automatically detect based on stocks, based on material baskets, based on all of this information, detect where our coverage will end and when we need to place orders. Basically another demand planning tool. So I would suggest that I can get you the focal point from Adno Consure digital team, maybe coordinate with them just to make sure two teams are not working on the same objective.

1:14:34 - Unidentified Speaker Okay?

1:14:35 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) Okay. Yeah. Thank you. Sorry, go ahead.

1:14:39 - Fakhouri, Mohamad Sorry, just to just to confirm.

1:14:49 - Mathew Koskoski (ADNOC Onshore) like the actual data?

1:14:52 - Ahmed Elkasrawi (ADNOC Onshore) Yeah, that's fine.

1:14:53 - Hector Palacios Is there any?

1:14:54 - Mathew Koskoski (ADNOC Onshore) OK. Not unsubscribeable.

1:15:01 - Khalid Sarfaraz (ADNOC Group D&CS) Hemant, I saw in the material list, some of the materials have SAP number and some have not. So this means that not all the materials are available in SAP.

1:15:13 - Mathew Koskoski (ADNOC Onshore) I think to answer that one, actually, every item will have But I think there is probably no SAP code listed when you've got three or four items that are the same, like have the same purpose. Is that correct, Ahmed? Is that what you'd say?

1:15:27 - Ahmed Elkasrawi (ADNOC Onshore) Well, I mean. Also not, but let me explain. The point is the items that you saw there that didn't have any SAP because the SAP is even the item that had SAP. This is a generic code, so basically this generic code is linked to other that we're going to be using. We're going to be using. Uh sad numbers their supplier. So as I mentioned the tubing three and a half inch tubing. This is says three and a half inch tubing premium connection, which has different variations, one from each supplier or multiple from each supplier. So this number is what we use for planning. We know that we need. Let's say per month. 10,000 joints of 10,000 units of the specific item, and then we can split this on the system, this EWDB system works. We don't have to have SAP numbers because this system was developed with pre-SAP migration, but we mostly use what we call an item code. That was the first line on the left. Mathew, let me just share my screen again, sorry, just to make sure people relate to what I'm saying. Let me know if you can see my screen. Yes, yes. Okay, so the point is here what we used to do is use the item code which which is, again, predefined. We know that this CD01, for example, is the compound, whatever. And we know these items, what they mean. This VTV, this is the VMI tubing 86, which is 3.5 inch tubing, for example. The reason these don't have is because this comes from an agreement that has maybe over 1,500 items. And instead of creating sub number for all of them, they just use the codes that they already planned or they already predefined. For them, it's understandable for them to communicate this to the supplier. The supplier understands what this code mean. They can find out what item they need to order or they need to talk about or they need to plan for when they see this code. So it's just a reference.

1:17:21 - Fakhouri, Mohamad Yeah, I have a question from a purchasing part. How do you create the purchase circles like is this?

1:17:30 - Ahmed Elkasrawi (ADNOC Onshore) No, because again, this plan is done offline now in Excel, so the decision eventually is on how many of this we need per month, and then we split on the supplier based on the allocation. Mathew will show you, for example, I'm not going to talk about those three because this is what we look after. We defined, again, that this item under this material basket requires joints. The system or the Excel sheet will look at the requirements per month. So we have maybe, not sure, 30, 40, a 50 month. Based on different requirements, it will deduce how many we need out of this item per month. And then based on our stocks, based on lead times, based on suppliers' capacities, we put the orders or agree with the orders of the suppliers and then put this plan or these deliveries in our sheet.

1:18:23 - Mohammed Ashic (ADNOC Onshore - PD) Mathew will show this part. And just to add on what Ahmed said, since this is like what he said is the completion code or basket of material which is similar to the BOM in MRO. So this quantity that he mentions here is for one type of well, what would be required, okay. So now when we are planning, we are planning for a year or two years. So you may have the similar well say for one year, you may have 200 wells of the similar type. So this quantity into 200 will be the required quantity for that period.

1:19:01 - Fakhouri, Mohamad Yes, yes. But I'm more interested to Khalid's point. Let's say if we take that example of the chemical injection line, you have 12,000 quantities. Do you create the material in SAP?

1:19:32 - Fakhouri, Mohamad That process happens after.

1:19:35 - Ahmed Elkasrawi (ADNOC Onshore) So basically this specific item, for example, or any of these items that don't have SAP codes, they have their SAP codes based on the suppliers. So each supplier will have their own SAP code because we have to identify which supplier supplies what, right? So we have, let's say, currently two suppliers that supply this. So we have two SAP codes that have the same exact description, just the difference is just the supplier. And again, This SAP code does not, we cannot order this because this is not a complete definition. This one says premium. Premium is not a thread, which is what we need. This has to be translated into or changed into a specific number where the suppliers, which what we agreed with the suppliers on. So Tenaris or one of the suppliers have their own number other than from supplier Y, supplier Z. Everybody has their own specific SAP number. Just for planning purposes.

1:20:30 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) I'm at that part also coming from the system, isn't it? Or this manual?

1:20:35 - Unidentified Speaker This.

1:20:35 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) No, no, no, no. What if we want to order for canaries or?

1:20:39 - Ahmed Elkasrawi (ADNOC Onshore) This is currently again with the VMI. All the VMI agreements is being done manually. As I mentioned, that project that admin control is working on the upgrade for the database and so on. This was to move this into a more system-based process, but the project is taking too long at the moment. It was supposed to be finished by last year, but then there's some extensions, additions of requirements and so on to the DWS 2.0. So this demand planning or the material planning part was pushed a little bit further, but I can get an update. I don't have an update about it at this time.

1:21:19 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) One question, sorry. Now here, in terms of as input as this process what we discussed so this information so from onshore and offshore we can obtain to for this project in the excel sheet so whatever so what we have seen with Bogdan presentation and the excel sheet this is similar one available for onshore as well isn't it as input we can say Ahmed.

1:21:44 - Ahmed Elkasrawi (ADNOC Onshore) You mean from the DWS for example?

1:21:47 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) Yeah the DWS and the again the map material location plan Similar to that or so that we can translate from equipment basket for example. So we have.

1:22:00 - Ahmed Elkasrawi (ADNOC Onshore) I understand OK, so this this. The map or not the map. Sorry the the plan that we have. We can export this into an Excel sheet that shows all these details and link them with dates and everything. So let me just see if I have ready that can show you quickly what I'm talking about.

1:22:27 - 1Fakhouri, Mohamad So the source will be, could be the DWS because it does contain all the activities and requirements.

1:22:35 - Ahmed Elkasrawi (ADNOC Onshore) Yes, so if you see my screen, so this Excel sheet is an extract from the DWS. This is different information including what we need was a job type, completion code, the other factors because other teams look at different stuff. But basically, with this information, we put this in the Excel sheet that we built, and we translate this into material requirements. How? Basically, by taking all of these, and they are defined as material basket that I was talking about, which is this part here, which we can also download from the system. So we define all of this here, but then we can also extract it. I'm sorry. Can I just stop now? We can extract it into an Excel format that shows the completion code with the components, with the quantities and everything. But instead of downloading this every time, we have been maintaining this in Excel outside the system for a couple of years now. Is that clear? So here I can go and download this list of completion codes.

1:23:44 - Fakhouri, Mohamad One of the reports here. Yes, if I can summarize.

1:23:49 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) So now see what you want to take your opinion now. So we have two input. Either we have to connect with UWDP or we have to feed into the Excel. So from your like suggestion, which is the better one? Feed in Excel or connect to UWDP?

1:24:08 - Ahmed Elkasrawi (ADNOC Onshore) So this is not. I mean my opinion. But I believe we should have the system serve this better than we also just extracting data to Excel and then putting in a different report or a different tool that can give us the information to just build this into the system and everything will be connected because the data will be collected from here. We probably will be able to access the database because again, we have other tools that access this DWS. Itself is linked to the DWS, update information in the AWDB, it reflects into AWS. So both databases are connected. And here also you saw we already connected this as well to SAP, so you could see the SAP numbers. So the link is there. I mean, the link is not a big deal. They can link this together. It's better if we have this in a tool defined. This is I'm not sure. So we can always, if we need to modify something or add something or whatever, instead of keeping it in an Excel sheet. The only thing that we're going to have to do manually until we fix this is the VMI stocks, which is again. I mean, we have built the the API to so access module for the supplier to upload, but they're not really uploading, but we can start enforcing this if it's going to serve the system.

1:25:29 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) Let's put it in a system.

1:25:30 - Khalifa Al Yafei (ADNOC - GP) I don't want to be working with extension. Yes, I'm the team here and I agree with you, but I know what I want. From you guys both fuel short of short. Can we assist the both the both system? And let's see an advantage and disadvantage from both system. Then we can. We can take one of them and proceed. Let's see what is more benefit for for both of company and we can amend here and there. And also I think the onshore they have in the system we can take from that system for for let's say it's for. Let's continue what's done and said we are starting from zero. Let's say so let us assist both assistant system. Then we come back with with our recommendations.

1:26:19 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) Guys, OK, thank you.

1:26:24 - 1Patel, Rahul Yeah, this is Rahul. I have a question on VMI stock.

1:26:31 - 1Patel, Rahul When you're planning your planning and procuring, my stock or it is managed by vendor like the planning and procurement. We have to trigger the procurement.

1:26:41 - Patel, Rahul You have to trigger the procurement and vendor procures it on his own based upon the plan you've provided. And manage the inventory or you you buy it and give it to vendor and he manages the inventory for you.

1:26:57 - Ahmed Elkasrawi (ADNOC Onshore) No, no, no, we don't. So it's the vendor is the producer, so the vendor does not. It from somebody else. Usually the vendor is the producer. So we share this plan with the vendor. We discuss with them. We agree based on the stock, the plan, the requirements, their capacities, a lot of factors. We agree on what we call a production commitment, which is a list of items to be ordered and to be delivered by a specific date. And then the supplier triggers this into their manufacturing facilities. And once they have the material arrived, we have reports for them. That shows the inventory level. I mean, I'm sure we get this on a biweekly basis.

1:27:36 - Patel, Rahul And then from vendor it comes to your wells or sites as per the requirement. Whenever you need it actually, then the inventory moves from vendor to your own location.

1:27:46 - Unidentified Speaker Yes.

1:27:47 - Mohammed Ashic (ADNOC Onshore - PD) God, I should want to say something. No, it's it's the same thing. It's what you said.

1:27:55 - 1Sheth, Kunal Kamal. Yeah, so my point is, So as Rahul has just asked regarding the VMI part, so how are we sharing the inventory levels as well as forecasting data of AdNoc with the supplier so that they can manage the inventory at an optimal level?

1:28:11 - Ahmed Elkasrawi (ADNOC Onshore) Mathew, this is where you come in.

1:28:12 - Mohammed Ashic (ADNOC Onshore - PD) Are you still there? Mathew, you can share. Share your screen on that review sheet.

1:28:29 - Mathew Koskoski (ADNOC Onshore) Sorry, I was just talking to a completion engineer here. Sure, OK. What do you want me to show here?

1:28:48 - Mathew Koskoski (ADNOC Onshore) We could use maybe 958s as a good example.

1:28:51 - Ahmed Elkasrawi (ADNOC Onshore) Yeah, just walk them through the process. So if you can show them the well plan. Sure, yeah. Similar to what Dan did, how we get the well and so on.

1:28:59 - Mathew Koskoski (ADNOC Onshore) Yeah, unfortunately I missed most of this meeting, but I had to catch pieces of it. So similar to probably what Ahmed showed here, we have the well plan itself, so the DWS. And this has got sequence numbers of the wells, rig well information, information. These are dates in just in data form. What this has done is it's translated into the well plan. So this is the same information essentially, but what we do is we look at this information and then determine what OCTG requirements there are with it. So is it a heavy casing, light casing, design, you know, workovers? Are there additional requirements that need some lower completions or something like this? And then basically predefined tables of what the different combinations of designs require. So based on location and design types between heavy casing design and the completion code, there's going to be basically a reference of what the casing is going to be. On top of that, it'll add in the completions materials based on completions baskets. So based on whatever the the completion code might be, there's going to be a predefined list of a basket here. Finally, the additional requirements. Anything added on top of the well. Potentially some lower completions or smart completions or fishbone completions. It's kind of like a last piece of the puzzle. That basically defines each well in terms of what the projection of the OCTG requirement is going to be per well.

1:30:32 - Sheth, Kunal That gives us the right so this is the final plan which we have created then we are sharing with the supplier right so that they can replenish on our behalf yes so we do share this this total well plan

1:30:46 - Mathew Koskoski (ADNOC Onshore) but the thing is is that they can't necessarily replenish on their own behalf because they're only one part of a puzzle right so there's four let's say suppliers for OCTG one of them is ourselves our old inventory in BAB 13 and then the three vendors so it's up to us to define you know who is taking what portion of it. It should be quite simple, but a lot of commercial terms and supply chain variations. So if somebody has got quite a longer lead time, maybe we won't lead into their ordering with them because the longer your lead time is, the more variation you're going to have on your accuracy. So we can look at maybe something like this as an example, the nine and five eighths. So right now we've got a small amount of stock with Tenaris. A very large amount of stock with with Valeric, nothing with Marabeni really, and a small amount coming in with Marabeni. So what we have right now is majority of current supply and stock on the ground is from Valeric with ongoing orders to both of these companies that are almost equal, and then nothing from Marabeni. And this, this basically is the sum of our total stock versus the sum of the number of months based on spud date of what's expected on the quantities required on a well-by-well basis. So this is basically summing monthly the total requirement.

1:32:04 - Sheth, Kunal Right, right. So these are the individual bucket-wise stock levels which we need to keep to perform all the drilling activities.

1:32:15 - Mathew Koskoski (ADNOC Onshore) Yes, exactly. So we have kind of a six-month target. This is a contractual target we maintain. The average quantity here is something like joints. So we should always have 30,000 in stock on the ground. You can see right now we're quite a bit below that. We've had some issues with 958s. Our consumption is very high and we don't have participation from all suppliers. You can see that pretty clearly here. So that's kind of a good example of, let's say, external commercial factors that have affected the stability of what we would like to achieve on this item. First is if we look at some items that are going more smoothly, where there's participation from, let's say, all companies. A seven inch, 29 pound is a good example. We've got fairly balanced stock. We've got fairly balanced incomings. Again, a bit of a gap here.

1:33:02 - Unidentified Speaker Yeah.

1:33:03 - Patel, Rahul So if the stock goes below your six month target, then do you bump up the future requirements so that eventually you match up the total stock?

1:33:13 - Mathew Koskoski (ADNOC Onshore) Yeah, exactly. So we kind of use something like this as a base for where we might order. Like if I could place any orders possible, we look at a lead time. Something like this maybe be eight or nine months. And I can see that I need to get up to 15,000. So if I wanted to do it just theoretically, these are all formulas looking up from basically incoming lists from all of the vendors themselves. But something like this would be a quick, easy way to see what I'm looking for. I need joints from Airbenny, spread over this, and we'll be achieving our target of six months inventory, July 2025.

1:33:52 - Mathew Koskoski (ADNOC Onshore) That's kind of what the basis of it is. A lot of the checking and balancing of it as well. This is what we're projecting monthly for our consumption, but we also need to look at the historics. What have we actually consumed in the last six months versus the forward six months? Are we increasing plans or are we decreasing plans? Lately, it's all been increasing, but the number that we've actually consumed in the trailing six months should be plus-minus 10-15% of the future plans, especially If you're planning on scaling up by nothing, everything's going to be equal in steady state, then you should be projecting forwards what you're expecting. It should be comparable to what you've consumed in the last same period.

1:34:35 - Patel, Rahul So essentially this sheet summarizes everything for you. Your consumption, your targets, your stocks at different level, and your plan for the future purchases.

1:34:45 - Mathew Koskoski (ADNOC Onshore) Yes, exactly. On a monthly basis, stocks and incomings are completely updated. On a case-by-case basis, little aspects of it can be updated. Especially if you learn some of these designs historically are consuming slightly less casing or there's slightly more length in certain aspects of some strings, then you can actually put this in and then that change will happen globally across the entire consumption Right, Mathew.

1:35:17 - Sheth, Kunal So Mathew, starting from the drilling bar chart, so the entire planning part we are doing outside SAP, that is DWS as well as EWDP system. And out of that, we are able to determine the item level requirement for next six months. And then we are also doing the allocation to the different vendors based on their capacity. And then we are doing the replenishment planning.

1:35:39 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) Correct?

1:35:41 - Mathew Koskoski (ADNOC Onshore) Yes, exactly. Yeah, yeah.

1:35:43 - Sheth, Kunal Right, right. And here, my point is, the consumption part which you just mentioned, is it maintaining outside SAP or that data is available? Let's say six or 10 month history.

1:35:55 - Mathew Koskoski (ADNOC Onshore) Well, this one's actually an interesting point. I take the data directly from the vendors, but we can also pull it from SAP. So if we have some inventory within SAP and it's being moved, then we can see what the movement reports are. But the problem with the way that the vendors interact with SAP, you know, ad hoc financially on the material movements is there's typically quite a large trailing gap between the mobilization date and the date actually is posted with an SAP. And this is due to contractual or financial terms. So if I wanted to know exactly what moved in the last week or last month, I would never rely on SAP, even maybe two, three months, like the stability of what's being invoiced and the movements are not necessarily updated in anything near live fashion.

1:36:39 - Patel, Rahul So SAP is always lagging your sheet is more realistic based on the vendor information what's happening on the ground.

1:36:46 - Mathew Koskoski (ADNOC Onshore) Yes, exactly.

1:36:47 - Unidentified Speaker Alright.

1:36:56 - Fakhouri, Mohamad I know we are at time. So. Team, thank you so much for giving us a walkthrough of your current process.

