Demand Planning - Maintenance Downstream / Upstream MRO 
mié, 18 de sep de 2024

0:08 - Nabil Ghalib (ADNOC Group D&CS) I'll try to give you just a brief about your project, okay?
1:03:01 - Maria Terence (ADNOC Group D&CS) And we have the operations we use the manpower, so you are saying like how many manpower required. So what is the duration of work? How many person numbers required? So they will be doing the labor planning here. And then once you have the components tab here, you can list out what is the structure here. So from that structure, if I click here, I'll know what are the components added here under the BOM Bill of Materials. So I can choose this component. Because we have certain conditions here like there are components which is stock. We will be talking about the stock here, so the components that we have a specific type where it will be going for the stock items. 12 series are going for the stock items and we have certain conditions in the order like you have to enter the storage location as mandatory. So details like L is for stock item and this is the unit and then how many quantities required and then we will be choosing the storage location here.

1:03:58 - Unidentified Speaker OK.

1:04:02 - Maria Terence (ADNOC Group D&CS) See there is no stock here, but still it will allow you to move the order forward. And then once everything is done, they will be releasing the order.

1:04:16 - Maria Terence (ADNOC Group D&CS) and saving it.

1:04:22 - Fakhouri, Mohamad From the creation of the work order, when you're listing the materials, the maintenance planner or technician can know immediately that whether this material is in stock or not?

1:04:41 - Maria Terence (ADNOC Group D&CS) Yes, so normally they'll be able to know when they're there's an announcement here. So this will show you how many how much is hunter system stock is available from which store it is available. It will be shown here.

1:04:56 - Fakhouri, Mohamad So they don't need to, for example, ask the inventory planner or inventory.

1:05:01 - Maria Terence (ADNOC Group D&CS) Yes, yes, OK, OK, you know when there is there will be like when we have workflows triggered. Once we have this record is getting released so there's a workflow to the approvers for the reservation approval. Once it is approved, then they will do the issue once the stock is available. So all these things will happen.

1:05:25 - Maria Terence (ADNOC Group D&CS) So if I see to the here, you will see the reservation here and the reservation would have triggered a workflow to the approver. I'm not sure there's some problem here, but there will be an approver will be allowed to have have a workflow trigger.

1:05:43 - Nabil Ghalib (ADNOC Group D&CS) Maria show the reservation field and the dates priority also.

1:05:47 - Maria Terence (ADNOC Group D&CS) This is the recommended.

1:05:55 - Fakhouri, Mohamad Who inputs that? Is it the system?

1:06:00 - Maria Terence (ADNOC Group D&CS) Yeah, it is normally comes from the system. For example, based on the operations you will have the if you see like Based on my priority, when I'm creating an order, my basic start dates have a priority, like a medium, it will take 90 days from today, they can plan the order. So like that, it will go for the dates calculated. Based on this date only, you will get the components assigned. That will be the recommended. They can change the date, it can be done by the planner itself. If they want to push this recommended further, they can push it.

1:06:38 - Fakhouri, Mohamad Sorry, please go ahead.

1:06:43 - Maria Terence (ADNOC Group D&CS) It's OK, yeah.

1:06:47 - Fakhouri, Mohamad I have a question here.

1:07:35 - Hassan El Rezk (ADNOC Offshore - OPUZ) I am not sure like what you talk about you talk about the material criticality yes it is depending on the one second release the you have the criticality of the equipment and then you have the criticality of the spare bottles so those is different exercise this period of the activity itself, which is based on the activity type and the equipment criticality. So the system decides or suggests the due date for the work order. Based on equipment criticality and activity type, yeah.

1:08:15 - Mazhar Hussain (ADNOC Group D&CS) Also, Mohamed, you will receive only the demand from the plant maintenance Other parameters are already maintained in the material master like the grid entity, the material type, material group and and so on. We need lots of flags are there, so all those flags are independent. What we are doing here is we are just putting a demand. I need this material. Based on my priority, it is suggesting a date. And based on my number of days here, I'm putting in the operation it will calculate and then based on the scheduling date. It will. Put the required date into the reservation and that's all. This is all it is doing and it will create a reservation. Reservation will. Will be picked up by the MRP and then you know the process.

1:09:08 - Fakhouri, Mohamad Yeah, yes, yeah, yeah.

1:09:12 - Khalid Sarfaraz (ADNOC Group D&CS) One question here. One question here. Does the equipment criticality has any impact on this? There are some master data maintained equipment level also right?

1:09:21 - Maria Terence (ADNOC Group D&CS) On the function location that is see the equipment criticality and the effort effect right? This determines the priority from the day and then the dates are planned, but it can be overwritten by the person who's going to release or doing the planning during that notification when they want to push it. If they want to move it early, they can make the priority change because it flows from your equipment master. There's a this is on the But this is all based on your work order. Yes, the work related priority.

1:09:56 - Mazhar Hussain (ADNOC Group D&CS) Basically, it is influenced only the dates. In the world, I guess for your for your requirement, yes.

1:10:03 - Khalid Sarfaraz (ADNOC Group D&CS) One other question, the requirement. Let's say the requirement date. If it has passed, let's say and the workers not started. Does anybody updates the requirement date? Any process being followed? Followed there currently?

1:10:23 - Hassan El Rezk (ADNOC Offshore - OPUZ) This will be overdue after this date. You have a failure, you have to maintain the equipment. So this will be an overdue and you have to deal with the overdue because it was the criticality of the work itself. Maybe you need to raise a downgrade situation or deferment, it is another process. This is when you cannot pay with the due date. The basic date was equal to baseline date is fixed.

1:10:52 - Mazhar Hussain (ADNOC Group D&CS) Let me answer this. Let me answer this question. By the way, I did not introduce myself. My name is Mazars and I'm working in IT. I am a project manager for several projects and I'm SAP certified consultant also as well. I just wanted to give you the idea that OK, what is my background now? Suddenly the question that you ask is that if I'm changing my For example, if I change my dates here in the work order, is it going to affect the material reservation dates? Once it is created and if I'm not touching the demand that, for example, if I'm not changing any quantity or something. And then it is not going to change the reservation, so the demand date will stay is the same same.

1:11:36 - Khalid Sarfaraz (ADNOC Group D&CS) Yeah, OK, now my question is actually the business wise. If that date has been passed and stop so you still want to keep that day the requirement date as it is or you want to update it in the the sir from inventory perspective the expectation was that the the

1:11:59 - Murugan Kaliaperumal (ADNOC - PE&ICV) concern team should go and update the reservation the requested date because if it is kept open we see a lot of the challenges from buy material and probably it is postponed. They don't know how long it will take to consume. They cannot also use it for other reservations. So it is always good to go back and correct the requirement date in the reservation. Or in the work order, whatever.

1:12:25 - Naamani, Mohamad Yes, sir.

1:12:27 - Fakhouri, Mohamad Murugan, you mentioned which team is required to update?

1:12:33 - Murugan Kaliaperumal (ADNOC - PE&ICV) Originator of the work order or the originator of the reservation.

1:12:37 - Fakhouri, Mohamad OK. OK. The creator of the work order, the creator.

1:12:45 - Murugan Kaliaperumal (ADNOC - PE&ICV) Else this will lead to excess stock not consumed by anybody. I lay there for the observation is it's lying there over a period of months.

1:13:00 - Mazhar Hussain (ADNOC Group D&CS) The only thing is that if the demand is still, I mean, not denoted. Nothing happens in the reservation at this point. But if we delete the demand, it will change. But your point is noted down. If we have this functionality available in the PM side, that if we are changing the scheduling date in the future and there is a substantial change, then is it changing the reservation or not? Reservation demand date? Or if it is not, then we will see that how we can do this.

1:13:32 - 2Rohith Ellareddy ADNOC Offshore- OED) it's okay see if I understand okay so we will take the reservations from that we will come to know the consumption pattern history or the demands okay and we will take the criticality and other things of the materials okay like I mean criticality and we also know which is which is value of the material also will take in consideration. Considering these parameters, IVP will propose us a new safety or minimum stock maximum stock as a report output.

1:14:32 - Fakhouri, Mohamad Uh, sorry it was Rohith. Yes, correct.

1:14:38 - Rohith Ellareddy ADNOC Offshore- OED) This is what IBP will do, yes.

1:15:09 - Fakhouri, Mohamad are going to achieve correct that will be the output of the IBP tool yeah that will be the output yes the input will be coming from your maintenance plan and I consumption. Yeah, then the output of SAP IPP will be the recommended.

1:15:28 - Rohith Ellareddy ADNOC Offshore- OED) Yeah, so far that I put a few more input consideration in the chat, so we also need to consider replenish lead time. I'm also concerned.

1:15:39 - Murugan Kaliaperumal (ADNOC - PE&ICV) Yeah, I replied you Sir. Yes, all these parameters will be considered. Yes. These are while calculating the different levels. Multiple logics will be used.

1:15:50 - Rohith Ellareddy ADNOC Offshore- OED) these are the basic inputs what will be considered yes correct so so if if eventually after this if you can show us the different formulas or the method methods you will have that will be they will come back yeah

1:16:04 - Murugan Kaliaperumal (ADNOC - PE&ICV) after the workshops after all these workshops the design session what all parameters will be there will be a matrix basically which will show based on the matrix what They will also provide us a guideline on this subject.

1:16:20 - Rohith Ellareddy ADNOC Offshore- OED) Yeah, this MTBF formula multiple are there, right? Yeah, yeah, yeah, yeah. Thanks, yeah.

1:16:27 - Vijayanand Ramaswamy (ADNOC Offshore - OPUZ) Thanks, yeah, excuse me. How is it different from the current way of calculation? So how IBPS calculation will be different from what is being arrived at currently?

1:16:40 - Murugan Kaliaperumal (ADNOC - PE&ICV) Currently companies are doing it. Manually. We do not have any automated system. Has a default provision, which has a static set of formula, three formulas. Safety stock has a formula, ROP has a formula and order quantity has a formula. So, this is just static formula with not multiple combinations of formula reason. We are dealing with MRO products where spare parts are consumed like probably once in three years or once in four years. They are not regularly consumed. Our fast movers are like once in a year or twice in a year, our meaning of fast moving. So, this standard formulas in SAP will tend to keep every item on stock. So, inventory will increase. So, through this tool we are trying to bring in multiple combinations of formulas and logic and implement it. This will like avoid manually deciding the formulas and manually entering the inputs. Of course, the output of IBP will be manually reviewed and endorsed item by item, but it gives you multiple options to decide quicker using all the data available in ERP. Be it maintenance plan data, planning data or conception data or few other discussions we are we will be having in the workshops.

1:18:20 - Rohith Ellareddy ADNOC Offshore- OED) If I add also currently we don't consider for this answer we don't consider fast moving slow moving item low value of the item we don't consider so maybe this tool can Okay, so currently you don't consider let's say the

1:18:43 - Fakhouri, Mohamad demand frequency.

1:18:45 - Murugan Kaliaperumal (ADNOC - PE&ICV) No, no, manually all these things are considered manually. Different companies are different practice. We also have a set of formulas address in the guideline. So since there was no automation.

1:19:01 - Fakhouri, Mohamad Got it, understood.

1:19:15 - Sheraz Kazi (ADNOC Refining - RRE) Newman has raised his hand for a long time. If someone can.

1:19:18 - Fakhouri, Mohamad Sorry, I didn't see this.

1:19:22 - Snowvin Jayapal ADNOC Offshore- OED) Thank you. Thank you for noticing that and thank you Mohamed for allowing me to speak. First question is it a to and fro communication from SAP S4 HANA to IBP and then IBP to back to SAP like for example the best cases I can show this example only you see this there is a status called as material shortage MSPT Maria if you can just click on that icon I please that status icon Yeah, can you see this? Yeah, it's it. It shows that it is material shortage. If you can read the from top 5th one. So it shows that it is this work order has got a material shortage. This status. Assigns even if there is one material short, I mean to say there is a list as per bill of material. Let us say there are 1010.

1:20:21 - Snowvin Jayapal ADNOC Offshore- OED) or spare, which is used for this particular PM or a turnaround, whatever we call. So even if there is a shortage of one material, one quantity, this status is set.

1:21:13 - Maria Terence (ADNOC Group D&CS) It should go when when the quantity is available, it should post nothing.

1:21:22 - Mazhar Hussain (ADNOC Group D&CS) It will not go until you run this availability check again.

1:21:25 - Maria Terence (ADNOC Group D&CS) Yeah, it happens on the same side. Actually availability check happens at the same of the order.

1:21:32 - Snowvin Jayapal ADNOC Offshore- OED) Yeah, but if it is ordered earlier, yeah, that's that's what that's what I'm asking. Nobody will go there and automatically save. See, like for example, if I take a report, let us say for a one month I have a set of work order, so I'll just run a report. Material short, I will not execute either. I will defer it or DGS or whatever. So because it shows I will not go inside and then you know keep on saving it again. So will our IBP system help in this regard?

1:22:01 - Mazhar Hussain (ADNOC Group D&CS) Good point is now in very good point.

1:22:03 - Zain Zahoor (ADNOC Gas - IOE) Thank you and in addition to that, for example, if we plan something after the demand planning and there is some proposal for the procurement that what is the actual planned delivery date? So will it be updated in the work order against the component or not?

1:22:24 - Naamani, Mohamad So, Snowvin and Zain, if I may, thanks. I mean, these are very valid questions. If you can help us by writing them on the chat so we can use them when we discuss the future or the design, we'll make sure these are tackled. So they are valid in terms of your current challenges as part of the AS-IS. But also, we do not want this session to cover how or when we say yes, it will be covered, how it will be covered with IBP. But these are valid questions. So help us out, please, to record them so we can capture. Yet, we'll continue to understand the other areas that my colleagues are trying to see how the current state today works. Please.

1:23:05 - Murugan Kaliaperumal (ADNOC - PE&ICV) Let me add my word here, sir. With respect to lead time, Currently the one ERP has been configured already to update the lead time based on every purchase order completed. So you will, anybody who wants to refer for any purpose, the active lead time, you will find it against the item master. In the item master, there is a field called delivery time. So this will give the external lead time.

1:23:37 - Unidentified Speaker time.

1:23:39 - Murugan Kaliaperumal (ADNOC - PE&ICV) So, this is automated and items will be updated regularly. Point 1. Point 2, the scope of this particular implementation will not impact or update any maintenance related data.

1:24:06 - Rohith Ellareddy ADNOC Offshore- OED) Yes, thanks.

1:24:09 - Snowvin Jayapal ADNOC Offshore- OED) Okay.

1:24:10 - Nabil Ghalib (ADNOC Group D&CS) Maria, continue please. Yeah, I mentioned that you can add items after the work order is approved that it will be also approved through the reservation and also about return about the item sent for repair. Yeah, go ahead.

1:24:27 - Maria Terence (ADNOC Group D&CS) Okay, so additional year like after the release of the order right before plan I can have the materials after the release of the order. Also, I can add the material here. So if I if I am having any existing order so I can pick it and then I can attach the additional of the materials additional materials also.

1:24:59 - Maria Terence (ADNOC Group D&CS) And we have certain conditions in the order. Let me go here. There's no component search, OK?

1:25:11 - Maria Terence (ADNOC Group D&CS) Maybe let me add a component.

1:25:20 - Maria Terence (ADNOC Group D&CS) So this will allow, for example, now I'm having 10 quantities. I'm asking for 10 quantities here. And then I'll save the order.

1:26:04 - Murugan Kaliaperumal (ADNOC - PE&ICV) And this is the work order or is in the reservation, sir?

1:26:07 - Maria Terence (ADNOC Group D&CS) In the work order, in the work order I can do. There is a validation.

1:26:11 - Fakhouri, Mohamad So, this is the maintenance planner who can do that? Yes.

1:26:14 - Unidentified Speaker Yeah.

1:26:15 - Maria Terence (ADNOC Group D&CS) Okay.

1:26:17 - Murugan Kaliaperumal (ADNOC - PE&ICV) Because in 10 components. Process. The material is already purchased, partially consumed. For what reason is this quantity amended in the work order, sir? Is it for lack of budget? Cost? Why is this amended?

1:26:37 - Maria Terence (ADNOC Group D&CS) That can be... There could be a...

1:26:39 - Nabil Ghalib (ADNOC Group D&CS) More again, there could be... This was discussed with the companies and agreed to process. If there's any changes required, we'd have to discuss also with the companies.

1:26:45 - Murugan Kaliaperumal (ADNOC - PE&ICV) The challenge here is... The challenge is the purchase reason is not now found. For example, this is item purchase on demand. There was 10 piece in the work order. The inventory team has purchased 10 5 only consumed and no reason why. Once it is cancelled or corrected, for the rest 5 piece if it is high value, they will not know electronically they cannot track who was this and why it was purchased for.

1:27:43 - Murugan Kaliaperumal (ADNOC - PE&ICV) it this has a option to say that there is excess order in the P O you can reduce 5 pieces or there is excess order in the P R you can reduce. So, thus probability is there in I B P and that is one of our requirement. But after receiving if this is changed during conception, I B P will not do anything because for the for I B P cycle of purchasing is completed. Inventory will have a swelling issue. We'll discuss this later on, sir.

1:28:13 - Unidentified Speaker Correct.

1:28:13 - Rohith Ellareddy ADNOC Offshore- OED) Yeah, but in those cases, nothing can be done once it is received, right?

1:28:17 - Murugan Kaliaperumal (ADNOC - PE&ICV) You know, at least the origin is known, right? We'll discuss this later, sir. I'll come back to... This is not good practice, yes.

1:28:24 - Hassan El Rezk (ADNOC Offshore - OPUZ) Let's show what we have and then whatever the amendment, we will do amendment.

1:28:35 - Nabil Ghalib (ADNOC Group D&CS) better. Also mention about the return. Yeah, mention the return, please, Maria, also. And the revision that in case you change the shutdown date. Go ahead.

1:28:45 - Zain Zahoor (ADNOC Gas - IOE) But Murugan, just, just, sorry, sorry to cut you. Murugan, this demand planning will be on the historical data, right? Not on the real-time data, right or wrong?

1:28:55 - Murugan Kaliaperumal (ADNOC - PE&ICV) It will be on the real-time data as well, because one of the agenda is to give levels. Second agenda is to the currently in SAP there is a provision to called MRP planned order generation which creates PR and call of order automatically. So, the IBP requirement is also to do this function because in SAP, SAP could not create transfer orders if the material is available in other plant automatically. It only creates PR to buy. So, IBP There is a provision to create a transfer order either if it is within the company premises in different land or it can also trigger a transfer order for other companies. Also. It proposes transfer order option, so we might we might not use MRP land order concept after we are implementing IBP. So both deliverables are there. Please go ahead. Who is this?

1:29:54 - Fakhouri, Mohamad Yeah, this is, uh, But this can be done through MRP, through a stock transfer, whether it's internal or external.

1:30:04 - Murugan Kaliaperumal (ADNOC - PE&ICV) We'll discuss this. This is one of the expectations.

1:30:08 - Rohith Ellareddy ADNOC Offshore- OED) Yes.

1:30:08 - Khalid Sarfaraz (ADNOC Group D&CS) Currently, the MRP can only have the visibility across one plant only. If you are running the MRP, it is just running for a particular plant. However, IBP has the visibility across the different plants and different companies as well. This is why we have these two.

1:30:26 - Murugan Kaliaperumal (ADNOC - PE&ICV) No, both are right. We'll explain. Our configuration was completely different. So we have a gap there.

1:30:34 - Unidentified Speaker OK. OK.

1:30:35 - Fakhouri, Mohamad So we don't want to deviate the conversation. Let's continue with the man planning.

1:30:45 - Unidentified Speaker OK.

1:30:46 - Fakhouri, Mohamad Sorry, Maria and Nabi.

1:30:47 - Maria Terence (ADNOC Group D&CS) There's one more case also. For example, if five materials are There is a one more policy you cannot amend some material which is already issued. But in case if I want to return it so there is a negative quantity. I will always use it in the order to return it. Yeah, I'll use this negative quantity and then I will return to the it will see still this will go to the store for the approval and then it will go OK.

1:31:36 - Sheraz Kazi (ADNOC Refining - RRE) Maria, the workflow will not take it to the inventory.

1:31:40 - Maria Terence (ADNOC Group D&CS) Workflow will take the same approval email email that is for the information to the inventory controller. There is an email will go there, but the workflow will go to the Yes, it goes to the approver, the leader of the particular order. Like I think yeah, there's no personal number. That's why it didn't trigger the work. Yes, yes. So it goes to the manager of this particular person who's entered here.

1:32:04 - Seba Bakr (ADNOC Refining - HQ) But we have requested for the returns to add a workflow step for inventory.

1:32:10 - Murugan Kaliaperumal (ADNOC - PE&ICV) So this will come up. It doesn't come up, it's OK.

1:32:18 - Murugan Kaliaperumal (ADNOC - PE&ICV) Basically the message what he is conveying is that, what Maria is trying to convey is that, in the work order there is a possibility of adding a negative quantity to return back the material to the wearers which they took for consumption purpose. This is the basic information. Yes, actually while calculating the demand, these quantities will be updated and the final quantity will be considered for demand planning.

1:32:44 - Unidentified Speaker Yeah.

1:32:47 - Nabil Ghalib (ADNOC Group D&CS) Go ahead, Maria.

1:32:48 - Unidentified Speaker Yeah.

1:32:49 - Maria Terence (ADNOC Group D&CS) Uh, please.

1:32:50 - Mohamed Banderi (ADNOC Onshore - I&OED) If you go to the header, please.

1:32:52 - 1Sebastian Alba Yeah. Yes.

1:32:53 - Mohamed Banderi (ADNOC Onshore - I&OED) Just to highlight something here important. This material can be linked to a plant or a specific location or even equipment within the location. So this also will be part of the historical analysis. I don't know what level you you will carry out the historical data analysis. Is it an equipment level or component level or plant level?

1:33:19 - Murugan Kaliaperumal (ADNOC - PE&ICV) Component level, sir.

1:33:21 - Mohamed Banderi (ADNOC Onshore - I&OED) Component, OK.

1:33:22 - Murugan Kaliaperumal (ADNOC - PE&ICV) Material number level.

1:33:24 - Mohamed Banderi (ADNOC Onshore - I&OED) No, I mean the material number linked with the equipment or location or a plant.

1:33:30 - Murugan Kaliaperumal (ADNOC - PE&ICV) All options, because as a spare part, we look for equipment. Maybe a general item would have linked to a location. Location, no, we are not using it.

1:33:42 - Mohamed Banderi (ADNOC Onshore - I&OED) By the way the spare should be linked to equipment but as we know all the data accuracy is not at that level so you might have it at a high level which is a plant or area level which will be the challenge to calculate the demand.

1:34:01 - Murugan Kaliaperumal (ADNOC - PE&ICV) No for calculating the demand it will not like If there is a link to the bill of material, it will be good to know the installed quantity and identify the total requirement. If that is not there, then we might go only by the demand plan, the maintenance planning information. What quantity is added over there?

1:34:39 - Sheraz Kazi (ADNOC Refining - RRE) Mr Murugan, I have a question. How far in future the demand planning will forecast the material requirements? For example, PM recorders we do not have more than three months. So if the recorders are not generated, will the system still be able to make a forecast for the next year of materials? Planning coming, PM's coming?

1:35:02 - Murugan Kaliaperumal (ADNOC - PE&ICV) No, in that case, it will go only by conception pattern.

1:35:08 - Hassan El Rezk (ADNOC Offshore - OPUZ) This is what we are trying to understand today. This team is trying to understand in maintenance. We have asked Morgan to use the maintenance plan not the work order.

1:35:19 - Murugan Kaliaperumal (ADNOC - PE&ICV) Both, both, both.

1:35:20 - Hassan El Rezk (ADNOC Offshore - OPUZ) Yeah, yeah, yeah. You don't need to wait until the work order is issued. You need to see five years or one year, whatever, not less than one year. So better to see from the plan by itself.

1:35:31 - Mohamed Banderi (ADNOC Onshore - I&OED) But the material should be available in the task list itself. Exactly. If it's not available there, it will not be also shown in the plan.

1:35:38 - Mazhar Hussain (ADNOC Group D&CS) Exactly. Yes, true.

1:35:40 - Fakhouri, Mohamad So maybe, Maria, after you're done with this, you can show us the process of the maintenance plan.

1:35:50 - Unidentified Speaker It's included.

1:35:51 - Fakhouri, Mohamad It's included. We'll show it also.

1:35:53 - Unidentified Speaker Thank you.

1:35:57 - Maria Terence (ADNOC Group D&CS) So anything else to be covered?

1:36:01 - Khalid Sarfaraz (ADNOC Group D&CS) One question, when did this plant, when do you create it and how early? Is it created for next year, two years?

1:36:08 - Nabil Ghalib (ADNOC Group D&CS) Yeah, Maria will explain. Just give him time. Let him finish the work order. Last thing about deferral and revision. If we change the shutdown and then you can, if there's nothing else left on the work order, we can show the plan. Go ahead, Maria.

1:36:22 - Mazhar Hussain (ADNOC Group D&CS) And Nabil, Maria, you forgot also to mention that if the material is already consumed, you cannot delete from the company, standard allows.

1:36:31 - Nabil Ghalib (ADNOC Group D&CS) He mentioned that, yes.

1:36:32 - Maria Terence (ADNOC Group D&CS) This cannot, even if it is available, it cannot be done. Yes.

1:36:40 - Mazhar Hussain (ADNOC Group D&CS) So it was missed, Nabil.

1:36:42 - Nabil Ghalib (ADNOC Group D&CS) And of course, we have insurance and repairable item. I think inventory team can discuss that later. They know the process. Go ahead, Sheraz.

1:36:49 - Sheraz Kazi (ADNOC Refining - RRE) Yes, sir. Making reservations through MRS also. So that should be informed.

1:36:56 - Nabil Ghalib (ADNOC Group D&CS) That should be for non-maintenance requirement only.

1:37:00 - Unidentified Speaker Okay.

1:37:00 - Nabil Ghalib (ADNOC Group D&CS) Anyway, we'll discuss it also. That's a good point.

1:37:03 - Ahmed Ragab (ADNOC Offshore - ) Another bus for forecasting is to use the history of the work orders, the actual or the closed work orders, especially we are now working with SEB, maybe from 2021 April. So maybe there's some history of actual consumption of spare parts either in BM work order or in CM work order that can be used for forecasting the demand as well in parallel with what is what we are speaking in the maintenance planning and maintenance items I would.

1:37:40 - Nabil Ghalib (ADNOC Group D&CS) Murugan you can explain later the reservation of production material you know chemicals catalysts that is done by non-maintenance people. Okay, that's not covered here. Okay, continue.

1:37:52 - Murugan Kaliaperumal (ADNOC - PE&ICV) In between, there is a question of the manual reservation, metal requisition, right? For sure, this will be considered in the demand planning. However, I had a doubt. We need to limit these metal requisition or manual reservation to a specific period of approval. There are a lot of metal requisition open for more than a few months, or some are there for years. These are basically intended to take metal from warehouse.

1:38:23 - Nabil Ghalib (ADNOC Group D&CS) But again, this is what we are doing now. Everything that we are doing in ADNOC must ensure data 100% accuracy, from master data to transactional data. If we don't have excellent master data and complete transactional data, everything we So it will not be you know success.

1:38:47 - Murugan Kaliaperumal (ADNOC - PE&ICV) For demand planning can be for this particular case if there is a manual reservation which is dated 30 days before that quantity should not be considered that they will consume it. What it will do? What this system will do? If there is a demand through a reservation, it will consider that say 4 pieces required 8 piece is there in the warehouse. The demand is the output will say that it will not create any PR assuming that 4 piece will be consumed from the warehouse. Similarly, 4, 5 users are asking for the same item and the materials are not consumed, the PR will not be generated or may be excess PR quantity will be generated. So, for manual reservation alone probably we can have another discussion In this particular demand planning area where we are using it for PR generation purpose or planned order generation purpose, we need to consider only manual reservation created within 30 are active. As they can keep it active, take petrol from Varos. When the quantity is reduced, then automatically this planning system will consider.

1:40:07 - Nabil Ghalib (ADNOC Group D&CS) How much time do we have Khalid still?

1:40:15 - Fakhouri, Mohamad Less than 30 minutes.

1:40:16 - Maria Terence (ADNOC Group D&CS) Okay go ahead Maria please.

1:40:33 - Maria Terence (ADNOC Group D&CS) I'm adding a revision, so I'm pushing this order to a particular. For example, I'm going to push to a nearby shutdown. So I'm just this shutdown is like it is having an order period of 20 to 25. Get this particular setup if I'm trying to add so my dates will get updated here.

1:41:18 - Fakhouri, Mohamad I think the recommend date is Okay, so the requirement is that we want, even after the work order has been created, if there's a change, we want also the NIBP to reflect the changes.

1:41:48 - Unidentified Speaker Okay.

1:41:54 - Maria Terence (ADNOC Group D&CS) Anything else, Maria, on the work order?

1:42:00 - Nabil Ghalib (ADNOC Group D&CS) Yeah, yeah, no, he has a question before we go to plan.

1:42:04 - Rohith Ellareddy ADNOC Offshore- OED) No, no, I just wanted to add one point for Morgan. See Murugan when when you say about the MR created for not using the work order that is not manual. Again, that's also should we consider in inventory automating automating this inventory planning process manual in the sense when we are suggesting like maintenance team is suggesting an reorder or a safety stock or OEMs are suggesting a reorder or a safety stock that points we need to consider when you are doing this automated inventory planning correct so those those also should be that is manual actually for me manual means me as a maintenance team intervening and proposing yeah are you addressing well during MDGs creation or SPR creation yeah I am suggesting right I as a and technical expert in the maintenance team. I am suggesting an level. Yeah, I am suggesting a level that is manual for me.

1:43:06 - Murugan Kaliaperumal (ADNOC - PE&ICV) So that is very clear. Here what I'm addressing as manual reservation is SAP terminology. Our middle requisition what we say.

1:43:14 - Maria Terence (ADNOC Group D&CS) Yeah, yeah, that should have by default should consider anyway that should be.

1:43:19 - Murugan Kaliaperumal (ADNOC - PE&ICV) Yeah, only challenge we have separately. I put it down in the chat. The only challenge we face is manual reservations are open for a longer time, right? We will address it. I kept it as an open point. Manual reservation will be considered by default, but with some limitation. That limitation we'll discuss and agree upon before the end of all these workshops.

1:43:42 - Unidentified Speaker Yeah.

1:43:47 - Maria Terence (ADNOC Group D&CS) Okay, now let me go to the main maintenance planning. So I will show the task list and the maintenance plan how it is grouped so that it can have a reference.

1:44:02 - Maria Terence (ADNOC Group D&CS) See this is a maintenance plan. This maintenance plan is scheduled with the two different packages, right ship frequencies, packages, nothing else. It's a frequency like every six months I will have an order and every two years I will have an order. That's how I've planned my work for this maintenance plan like this. You will have a different case scenarios and plans where it can have a single frequency or it can have multiple frequencies. So so each each plan in this plan we have certain setup like when you need to create an order when you need to plan it so they have set a 60 days. This is an example. 60 days means like if it is planned today if I want the be planned today, then I will create the order 60 days in advance. Like this it can have a different different dates or percentages. It can be done OK in the plan. This is just a planning to ensure that when the order like how early I need to create an order so I can do my material planning and other labor planning requirements to be planned. Whether the nearby any shadow is coming so I need to because all these things will be ensuring with the color is on here, so you will be planning in advance. So this is one thing and for each maintenance plan. We will have a task list assigned, so the task list is nothing but it carries the operations and and then it carries the whether the components can be added. So how much labor is required so that it will carry and this example I've taken like on an equipment is having a task list with two different packages. So let me open the task list. I will show you how the task list is.

1:45:54 - Maria Terence (ADNOC Group D&CS) So these are some of the operations. These are just an operations OK for the each task. This is for the preventive maintenance plan and preventive for the you can see it's a critical HSCS equipment. That's why we have this mat operations are set up. All this mat symbolizes these equipments OK, and then so you'll have so it can in this operation I have 130 items. Line items I have. So. So for example, if you see the description at this differences like you see the six month it comes six month and then it goes to two year. So what I do in the task list? I will assign packages to these main operations like when I need to call this particular order. Like this operation. So for example, six monthly if I go to this package here, I'm assigning which operation falls in a which period. Whether it falls on a six monthly or it can be in a two yearly. So when the plan is, I'll show the schedule of this plan, how it schedules. So and then we I'll create a manual schedule to explain you how it will happen. So here you will have the different packages and this will be So from here. This package task list is assigned to a maintenance item. OK. So this task list assigned to a maintenance item. This maintenance item is tagged to a maintenance plan, so maintenance item and plan is one to end. I can have one maintenance item linked or I can have 10 maintenance items linked to that maintenance plan. I can have a different task list. I like packages also, but different items so different equipments. Everything will be different. It can be different can be seen, so there's no conditions for that.

1:47:52 - Fakhouri, Mohamad Yeah, I do have a question. Yeah, and maybe you can cover this. What happens if? So we have the list of activities, right?

1:48:09 - Maria Terence (ADNOC Group D&CS) They can do it in the work order after the work order is generated. They can do it. If you want to see, for example, it's kind of an ad hoc activity, right? It can be. It is required for this particular order only. Then I can update this operation in the work order.

1:48:26 - Sheraz Kazi (ADNOC Refining - RRE) OK.

1:48:28 - Fakhouri, Mohamad In the work order, but not in the maintenance maintenance.

